step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
52,2.6000,-0.2306,0.9078,-0.0798,0.5000,0.1578,-0.0798,-1.0000,-0.0567,C-06;C-01
53,2.6500,-0.2206,0.9070,-0.0809,0.5000,0.1570,-0.0809,-1.0000,-0.0555,C-06;C-01
54,2.7000,-0.2107,0.9062,-0.0820,0.5000,0.1562,-0.0820,-1.0000,-0.0543,C-06;C-01
55,2.7500,-0.2007,0.9054,-0.0831,0.5000,0.1554,-0.0831,-1.0000,-0.0530,C-06;C-01
56,2.8000,-0.1908,0.9045,-0.0841,0.5000,0.1545,-0.0841,-1.0000,-0.0518,C-06;C-01
57,2.8500,-0.1808,0.9037,-0.0851,0.5000,0.1537,-0.0851,-1.0000,-0.0505,C-06;C-01
58,2.9000,-0.1708,0.9028,-0.0861,0.5000,0.1528,-0.0861,-1.0000,-0.0492,C-06;C-01
59,2.9500,-0.1609,0.9020,-0.0870,0.5000,0.1520,-0.0870,-1.0000,-0.0479,C-06;C-01
60,3.0000,-0.1509,0.9011,-0.0880,0.5000,0.1511,-0.0880,-1.0000,-0.0466,C-06;C-01
61,3.0500,-0.1409,0.9002,-0.0889,0.6000,0.1502,-0.0889,-1.0000,-0.0453,C-06;C-01
62,3.1000,-0.1310,0.8993,-0.0898,0.6000,0.1493,-0.0898,-1.0000,-0.0440,C-06;C-01
63,3.1500,-0.1210,0.8984,-0.0906,0.6000,0.1484,-0.0906,-1.0000,-0.0426,C-06;C-01
64,3.2000,-0.1111,0.8975,-0.0914,0.6000,0.1475,-0.0914,-1.0000,-0.0413,C-06;C-01
65,3.2500,-0.1011,0.8966,-0.0922,0.6000,0.1466,-0.0922,-1.0000,-0.0399,C-06;C-01
66,3.3000,-0.0911,0.8957,-0.0930,0.6000,0.1457,-0.0930,-1.0000,-0.0385,C-06;C-01
67,3.3500,-0.0812,0.8947,-0.0938,0.6000,0.1447,-0.0938,-1.0000,-0.0371,C-06;C-01
68,3.4000,-0.0712,0.8938,-0.0945,0.6000,0.1438,-0.0945,-1.0000,-0.0357,C-06;C-01
69,3.4500,-0.0613,0.8928,-0.0952,0.6000,0.1428,-0.0952,-1.0000,-0.0343,C-06;C-01
70,3.5000,-0.0513,0.8919,-0.0959,0.6000,0.1419,-0.0959,-1.0000,-0.0328,C-06;C-01
71,3.5500,-0.0414,0.8909,-0.0965,0.7000,0.1409,-0.0965,-1.0000,-0.0314,C-06;C-01
72,3.6000,-0.0314,0.8900,-0.0971,0.7000,0.1400,-0.0971,-1.0000,-0.0299,C-06;C-01
73,3.6500,-0.0215,0.8890,-0.0977,0.7000,0.1390,-0.0977,-1.0000,-0.0285,C-06;C-01
74,3.7000,-0.0115,0.8880,-0.0982,0.7000,0.1380,-0.0982,-1.0000,-0.0270,C-06;C-01
75,3.7500,-0.0016,0.8870,-0.0988,0.7000,0.1370,-0.0988,-1.0000,-0.0255,C-06;C-01
76,3.8000,0.0084,0.8860,-0.0993,0.7000,0.1360,-0.0993,-1.0000,-0.0241,C-06;C-01
77,3.8500,0.0183,0.8850,-0.0997,0.7000,0.1350,-0.0997,-1.0000,-0.0226,C-06;C-01
78,3.9000,0.0283,0.8841,-0.1002,0.7000,0.1341,-0.1002,-1.0000,-0.0211,C-06;C-01
79,3.9500,0.0382,0.8830,-0.1006,0.7000,0.1330,-0.1006,-1.0000,-0.0196,C-06;C-01
