timestamp,mode,cage_version,raw_steering,raw_throttle,safe_steering,safe_throttle,emergency,rules_fired,cycles_since_last_state,oscillation_persistent,osc_rate_c01,osc_rate_c02,osc_rate_c03
0.000000,enforcement,0.5.0,-1.0,0.5,-0.08999999999999987,0.5,0,C-01,0,0,0.0,0.0,0.0
0.050000,enforcement,0.5.0,-1.0,0.5,-0.08998687065885892,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.100000,enforcement,0.5.0,-1.0,0.5,-0.08994748459226115,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.150000,enforcement,0.5.0,-1.0,0.5,-0.08988184958691171,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.200000,enforcement,0.5.0,-1.0,0.5,-0.08978998117427439,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.250000,enforcement,0.5.0,-1.0,0.5,-0.08967190262662383,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.300000,enforcement,0.5.0,-1.0,0.5,-0.0895276449505928,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.350000,enforcement,0.5.0,-1.0,0.5,-0.0893572468782145,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.400000,enforcement,0.5.0,-1.0,0.5,-0.08916075485546716,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.450000,enforcement,0.5.0,-1.0,0.5,-0.08893822302832699,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.500000,enforcement,0.5.0,-1.0,0.5,-0.08868971322633534,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.550000,enforcement,0.5.0,-1.0,0.5,-0.08841529494369216,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.600000,enforcement,0.5.0,-1.0,0.5,-0.08811504531788267,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.650000,enforcement,0.5.0,-1.0,0.5,-0.08778904910585184,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.700000,enforcement,0.5.0,-1.0,0.5,-0.08743739865773786,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.750000,enforcement,0.5.0,-1.0,0.5,-0.08706019388817948,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.800000,enforcement,0.5.0,-1.0,0.5,-0.08665754224521295,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.850000,enforcement,0.5.0,-1.0,0.5,-0.08622955867677536,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.900000,enforcement,0.5.0,-1.0,0.5,-0.08577636559483105,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
0.950000,enforcement,0.5.0,-1.0,0.5,-0.08529809283714329,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
1.000000,enforcement,0.5.0,-1.0,0.5,-0.08479487762670762,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
1.050000,enforcement,0.5.0,-1.0,0.5,-0.08426686452887228,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
1.100000,enforcement,0.5.0,-1.0,0.5,-0.08371420540616498,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
1.150000,enforcement,0.5.0,-1.0,0.5,-0.08313705937085188,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
1.200000,enforcement,0.5.0,-1.0,0.5,-0.08253559273525247,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
1.250000,enforcement,0.5.0,-1.0,0.5,-0.08190997895983593,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
1.300000,enforcement,0.5.0,-1.0,0.5,-0.08126039859912611,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
1.350000,enforcement,0.5.0,-1.0,0.5,-0.08058703924544203,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
1.400000,enforcement,0.5.0,-1.0,0.5,-0.07989009547050296,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
1.450000,enforcement,0.5.0,-1.0,0.5,-0.07916976876492665,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
1.500000,enforcement,0.5.0,-1.0,0.5,-0.07842626747565062,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
1.550000,enforcement,0.5.0,-1.0,0.5,-0.07765980674130829,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
1.600000,enforcement,0.5.0,-1.0,0.5,-0.07687060842559057,0.5,0,C-06;C-01,0,0,0.0,0.0,0.0
