timestamp,action,reason,resets_issued
1788187260.822466,withheld,cage rules active: C-02,1
1788187261.147646,withheld,perception still invalid,1
1788187261.329921,withheld,cage rules active: C-02,1
1788187261.531270,withheld,perception still invalid,1
1788187261.636486,withheld,cage rules active: C-02,1
1788187261.943187,withheld,perception still invalid,1
1788187262.236486,withheld,cage rules active: C-02,1
1788187262.825771,withheld,perception still invalid,1
1788187263.119886,withheld,cage rules active: C-02,1
1788187263.445975,withheld,perception still invalid,1
1788187264.035696,withheld,cage rules active: C-02,1
1788187264.225807,withheld,perception still invalid,1
1788187264.431241,withheld,cage rules active: C-02,1
1788187264.731427,withheld,perception still invalid,1
1788187265.227991,withheld,cage rules active: C-02,1
1788187265.339521,withheld,perception still invalid,1
1788187265.440301,withheld,cage rules active: C-02,1
1788187266.118407,withheld,perception still invalid,1
1788187266.924644,withheld,cage rules active: C-02,1
1788187267.315072,withheld,perception still invalid,1
1788187267.533192,withheld,cage rules active: C-02,1
1788187267.623178,withheld,healthy for 0.00 s of 1.00,1
1788187267.742859,withheld,perception still invalid,1
1788187267.915751,withheld,healthy for 0.00 s of 1.00,1
1788187268.029448,withheld,healthy for 0.11 s of 1.00,1
1788187268.122580,withheld,perception still invalid,1
1788187268.341847,withheld,healthy for 0.00 s of 1.00,1
1788187268.421671,withheld,healthy for 0.08 s of 1.00,1
1788187268.532073,withheld,perception still invalid,1
1788187268.921636,withheld,healthy for 0.00 s of 1.00,1
1788187269.026088,withheld,perception still invalid,1
1788187270.530247,withheld,healthy for 0.00 s of 1.00,1
1788187270.725342,withheld,healthy for 0.20 s of 1.00,1
1788187270.824237,withheld,perception still invalid,1
1788187271.332177,withheld,healthy for 0.00 s of 1.00,1
1788187271.423737,withheld,healthy for 0.09 s of 1.00,1
1788187271.532680,withheld,healthy for 0.20 s of 1.00,1
1788187271.618589,withheld,perception still invalid,1
1788187271.738623,withheld,healthy for 0.00 s of 1.00,1
1788187271.830800,withheld,cage rules active: C-02,1
1788187272.038667,withheld,perception still invalid,1
1788187274.130967,withheld,cage rules active: C-02,1
1788187274.335186,withheld,perception still invalid,1
1788187274.919189,withheld,cage rules active: C-02,1
1788187275.016776,withheld,perception still invalid,1
1788187275.918902,withheld,cage rules active: C-02,1
1788187276.124640,withheld,perception still invalid,1
1788187280.334070,withheld,cage rules active: C-02,1
1788187280.430972,withheld,healthy for 0.00 s of 1.00,1
1788187280.539133,withheld,perception still invalid,1
1788187295.851086,withheld,healthy for 0.00 s of 1.00,1
1788187295.920854,withheld,perception still invalid,1
1788187308.925593,withheld,healthy for 0.00 s of 1.00,1
1788187309.024923,withheld,healthy for 0.10 s of 1.00,1
1788187309.171467,withheld,healthy for 0.25 s of 1.00,1
1788187309.233826,withheld,healthy for 0.31 s of 1.00,1
1788187309.310992,withheld,healthy for 0.39 s of 1.00,1
1788187309.438810,withheld,healthy for 0.51 s of 1.00,1
1788187309.533426,withheld,healthy for 0.61 s of 1.00,1
1788187309.619942,withheld,healthy for 0.69 s of 1.00,1
1788187309.730717,withheld,healthy for 0.81 s of 1.00,1
1788187309.933389,reset,"healthy for 1.01 s, reset 2/30",2
1788187310.526673,withheld,perception still invalid,2
1788187310.734943,withheld,still moving (0.063 m/s),2
1788187310.933867,withheld,still moving (0.090 m/s),2
1788187311.028486,withheld,still moving (0.079 m/s),2
1788187311.129855,withheld,still moving (0.062 m/s),2
1788187311.334944,withheld,still moving (0.061 m/s),2
1788187311.427418,withheld,still moving (0.050 m/s),2
1788187311.533364,withheld,still moving (0.047 m/s),2
1788187311.626311,withheld,still moving (0.041 m/s),2
1788187311.735665,withheld,still moving (0.038 m/s),2
1788187311.939967,withheld,still moving (0.033 m/s),2
1788187312.123632,withheld,still moving (0.025 m/s),2
1788187312.239506,withheld,still moving (0.023 m/s),2
1788187312.438633,withheld,healthy for 0.00 s of 1.00,2
1788187312.541809,withheld,healthy for 0.10 s of 1.00,2
1788187312.615307,withheld,healthy for 0.18 s of 1.00,2
1788187312.726625,withheld,healthy for 0.29 s of 1.00,2
1788187312.819001,withheld,healthy for 0.38 s of 1.00,2
1788187312.923254,withheld,healthy for 0.48 s of 1.00,2
1788187313.015682,withheld,healthy for 0.58 s of 1.00,2
1788187313.130990,withheld,healthy for 0.69 s of 1.00,2
1788187313.226884,withheld,healthy for 0.79 s of 1.00,2
1788187313.321355,withheld,healthy for 0.88 s of 1.00,2
1788187313.437027,withheld,healthy for 1.00 s of 1.00,2
1788187313.531754,reset,"healthy for 1.09 s, reset 3/30",3
1788187314.135793,withheld,perception still invalid,3
1788187314.324406,withheld,still moving (0.058 m/s),3
1788187314.438788,withheld,still moving (0.059 m/s),3
1788187314.524288,withheld,still moving (0.093 m/s),3
1788187314.723072,withheld,still moving (0.081 m/s),3
1788187314.844424,withheld,still moving (0.079 m/s),3
1788187314.927292,withheld,still moving (0.068 m/s),3
1788187315.016055,withheld,still moving (0.063 m/s),3
1788187315.136934,withheld,still moving (0.058 m/s),3
1788187315.227623,withheld,still moving (0.051 m/s),3
1788187315.326429,withheld,still moving (0.047 m/s),3
1788187315.441052,withheld,still moving (0.040 m/s),3
1788187315.531348,withheld,still moving (0.039 m/s),3
1788187315.621454,withheld,still moving (0.035 m/s),3
1788187315.719282,withheld,still moving (0.031 m/s),3
1788187315.825570,withheld,still moving (0.026 m/s),3
1788187315.935379,withheld,still moving (0.023 m/s),3
1788187316.051437,withheld,healthy for 0.00 s of 1.00,3
1788187316.131603,withheld,healthy for 0.08 s of 1.00,3
1788187316.227495,withheld,healthy for 0.18 s of 1.00,3
1788187316.332354,withheld,healthy for 0.28 s of 1.00,3
1788187316.432853,withheld,healthy for 0.38 s of 1.00,3
1788187316.551846,withheld,healthy for 0.50 s of 1.00,3
1788187316.626697,withheld,healthy for 0.58 s of 1.00,3
1788187316.725496,withheld,healthy for 0.67 s of 1.00,3
1788187316.825124,withheld,healthy for 0.77 s of 1.00,3
1788187316.929480,withheld,healthy for 0.88 s of 1.00,3
1788187317.026603,withheld,healthy for 0.98 s of 1.00,3
1788187317.131174,reset,"healthy for 1.08 s, reset 4/30",4
1788187321.135430,withheld,cage rules active: C-02,4
1788187321.326338,withheld,perception still invalid,4
1788187321.424697,withheld,cage rules active: C-02,4
1788187321.528911,withheld,still moving (0.193 m/s),4
1788187321.624730,withheld,cage rules active: C-03,4
1788187321.712955,withheld,still moving (0.146 m/s),4
1788187321.824474,withheld,still moving (0.141 m/s),4
1788187321.933108,withheld,still moving (0.113 m/s),4
1788187322.039034,withheld,still moving (0.102 m/s),4
1788187322.137366,withheld,still moving (0.087 m/s),4
1788187322.222425,withheld,still moving (0.079 m/s),4
1788187322.342448,withheld,still moving (0.071 m/s),4
1788187322.424566,withheld,cage rules active: C-02,4
1788187322.624566,withheld,still moving (0.039 m/s),4
1788187322.826823,withheld,still moving (0.027 m/s),4
1788187323.031108,withheld,healthy for 0.00 s of 1.00,4
1788187323.134371,withheld,healthy for 0.10 s of 1.00,4
1788187323.227290,withheld,healthy for 0.20 s of 1.00,4
1788187323.337432,withheld,healthy for 0.31 s of 1.00,4
1788187323.427859,withheld,healthy for 0.40 s of 1.00,4
1788187323.523537,withheld,healthy for 0.49 s of 1.00,4
1788187323.647102,withheld,perception still invalid,4
1788187323.739879,withheld,cage rules active: C-02,4
1788187324.435337,withheld,perception still invalid,4
1788187324.525671,withheld,cage rules active: C-02,4
1788187325.031424,withheld,perception still invalid,4
1788187325.214371,withheld,cage rules active: C-02,4
1788187325.319243,withheld,still moving (0.024 m/s),4
1788187325.621331,withheld,perception still invalid,4
1788187326.035200,withheld,still moving (0.020 m/s),4
1788187326.228938,withheld,healthy for 0.00 s of 1.00,4
1788187326.339236,withheld,healthy for 0.11 s of 1.00,4
1788187326.432191,withheld,healthy for 0.20 s of 1.00,4
1788187326.535120,withheld,perception still invalid,4
1788187327.341408,withheld,healthy for 0.00 s of 1.00,4
1788187327.429729,withheld,healthy for 0.09 s of 1.00,4
1788187327.532968,withheld,healthy for 0.19 s of 1.00,4
1788187327.631345,withheld,healthy for 0.29 s of 1.00,4
1788187327.724395,withheld,healthy for 0.38 s of 1.00,4
1788187327.929239,withheld,healthy for 0.59 s of 1.00,4
1788187328.023860,withheld,healthy for 0.68 s of 1.00,4
1788187328.138056,withheld,healthy for 0.80 s of 1.00,4
1788187328.233209,withheld,healthy for 0.89 s of 1.00,4
1788187328.320187,withheld,healthy for 0.98 s of 1.00,4
1788187328.423369,reset,"healthy for 1.08 s, reset 5/30",5
1788187329.820104,withheld,cage rules active: C-02,5
1788187330.126549,withheld,still moving (0.151 m/s),5
