timestep,ep_rew_mean,ep_len_mean,explained_variance
190464,527.790958,500.000,0.247118
191488,528.945249,500.000,0.648247
192512,530.031059,500.000,0.748814
193536,530.921426,500.000,0.723615
194560,531.827806,500.000,0.486177
195584,532.803817,500.000,0.446044
196608,533.657410,500.000,0.462590
197632,534.477473,500.000,0.462363
198656,535.129314,500.000,0.635934
199680,535.197711,500.000,0.687368
200704,535.165700,500.000,0.633492
