timestamp,mode,cage_version,raw_steering,raw_throttle,safe_steering,safe_throttle,emergency,rules_fired,cycles_since_last_state,oscillation_persistent,osc_rate_c01,osc_rate_c02,osc_rate_c03,ey,epsi,speed,kappa_ahead
1787731048.402045,monitoring,0.6.1,0.016202211380004883,0.8193026483058929,0.016202211380004883,0.8193026483058929,0,,0,0,0.0,0.0,0.0,0.015212679798918907,0.10602789606770041,4.5386482948544914e-05,0.11882488929766888
1787731048.537392,monitoring,0.6.1,0.01702146604657173,0.8179614841938019,0.01702146604657173,0.8179614841938019,0,,0,0,0.0,0.0,0.0,-0.021111567934937174,0.1656191431919194,0.00019303538735057394,0.19697059287330426
1787731048.634337,monitoring,0.6.1,0.013851001858711243,0.8165720999240875,0.013851001858711243,0.8165720999240875,1,C-05,0,0,0.0,0.0,0.0,-0.021111567934937174,0.1656191431919194,0.00019303538735057394,0.19697059287330426
1787731048.720804,monitoring,0.6.1,0.011557554826140404,0.8171949684619904,0.011557554826140404,0.8171949684619904,1,C-05,0,0,0.0,0.0,0.0,-0.021111567934937174,0.1656191431919194,0.00019303538735057394,0.19697059287330426
1787731048.823031,monitoring,0.6.1,0.011871918104588985,0.8178434371948242,0.011871918104588985,0.8178434371948242,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.09572256301139266,0.46080317977960256,8.219978972071981e-05,0.09705005437886272
1787731048.903820,monitoring,0.6.1,0.014980204403400421,0.8162889182567596,0.014980204403400421,0.8162889182567596,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.09572256301139266,0.46080317977960256,8.219978972071981e-05,0.09705005437886272
1787731049.031010,monitoring,0.6.1,0.009578255005180836,0.8152846693992615,0.009578255005180836,0.8152846693992615,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.016205227491221913,0.12226392400412878,9.990429415296906e-05,0.12578207684212742
1787731049.123291,monitoring,0.6.1,0.006865408271551132,0.8166905045509338,0.006865408271551132,0.8166905045509338,1,C-05,0,0,0.0,0.0,0.0,-0.016205227491221913,0.12226392400412878,5.179063428368727e-05,0.12578207684212742
1787731049.230179,monitoring,0.6.1,0.004811050835996866,0.817371666431427,0.004811050835996866,0.817371666431427,1,C-05,0,0,0.0,0.0,0.0,-0.02022533256914183,0.11743484460400198,5.543978522008385e-05,0.24672739111556277
1787731049.308614,monitoring,0.6.1,0.012834933586418629,0.8186143934726715,0.012834933586418629,0.8186143934726715,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.01843094611478254,0.40650737877181725,5.498179959005637e-05,0.2975894820683997
1787731049.525286,monitoring,0.6.1,0.0157152246683836,0.8162083625793457,0.0157152246683836,0.8162083625793457,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.01843094611478254,0.40650737877181725,7.146725315738073e-05,0.2975894820683997
1787731049.620362,monitoring,0.6.1,0.015571000054478645,0.8179262578487396,0.015571000054478645,0.8179262578487396,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.01843094611478254,0.40650737877181725,7.146725315738073e-05,0.2975894820683997
1787731049.725727,monitoring,0.6.1,0.012028282508254051,0.8201214075088501,0.012028282508254051,0.8201214075088501,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.01843094611478254,0.40650737877181725,7.146725315738073e-05,0.2975894820683997
1787731049.831154,monitoring,0.6.1,0.011402219533920288,0.8172733187675476,0.011402219533920288,0.8172733187675476,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.01843094611478254,0.40650737877181725,7.146725315738073e-05,0.2975894820683997
1787731049.935676,monitoring,0.6.1,0.00915567483752966,0.8193301558494568,0.00915567483752966,0.8193301558494568,1,C-02;C-05,0,0,0.0,0.0,0.0,0.006199326385755044,0.020194047456526244,0.00011271154129365107,-0.19661922738064969
1787731050.018986,monitoring,0.6.1,0.014262186363339424,0.8193928301334381,0.014262186363339424,0.8193928301334381,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.041643472076905254,0.4961117800141491,0.0001245658890479584,0.3503779157088501
1787731050.109353,monitoring,0.6.1,0.015196871012449265,0.8166421055793762,0.015196871012449265,0.8166421055793762,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.041643472076905254,0.4961117800141491,0.0001245658890479584,0.3503779157088501
1787731050.204819,monitoring,0.6.1,0.00899529829621315,0.8160126209259033,0.00899529829621315,0.8160126209259033,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.10424454139005804,0.6373123208991421,2.6069212738818773e-05,0.012665732904992122
1787731050.301217,monitoring,0.6.1,0.007919996045529842,0.8178518116474152,0.007919996045529842,0.8178518116474152,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.10424454139005804,0.6373123208991421,2.6069212738818773e-05,0.012665732904992122
1787731050.452204,monitoring,0.6.1,0.010875461623072624,0.8194250166416168,0.010875461623072624,0.8194250166416168,1,C-02;C-01;C-05,0,0,0.0,0.0,0.0,-0.1681797399139175,-0.12263213316109,1.8392529104346744e-05,2.008033192116507
1787731050.533181,monitoring,0.6.1,0.015507928095757961,0.8181443810462952,0.015507928095757961,0.8181443810462952,1,C-01;C-05,0,0,0.0,1.0,0.0,-0.1681797399139175,-0.12263213316109,1.8392529104346744e-05,2.008033192116507
