timestamp,mode,cage_version,raw_steering,raw_throttle,safe_steering,safe_throttle,emergency,rules_fired,cycles_since_last_state,oscillation_persistent,osc_rate_c01,osc_rate_c02,osc_rate_c03
0.000000,enforcement,0.5.0,-0.0,0.5,-0.0,0.5,0,,0,0,0.0,0.0,0.0
0.050000,enforcement,0.5.0,4.408728476930472e-17,0.5,4.408728476930472e-17,0.5,0,,0,0,0.0,0.0,0.0
0.100000,enforcement,0.5.0,5.1435165564188844e-17,0.5,5.1435165564188844e-17,0.5,0,,0,0,0.0,0.0,0.0
0.150000,enforcement,0.5.0,5.878304635907295e-17,0.5,5.878304635907295e-17,0.5,0,,0,0,0.0,0.0,0.0
0.200000,enforcement,0.5.0,6.61309271539571e-17,0.5,6.61309271539571e-17,0.5,0,,0,0,0.0,0.0,0.0
0.250000,enforcement,0.5.0,7.347880794884125e-17,0.5,7.347880794884125e-17,0.5,0,,0,0,0.0,0.0,0.0
0.300000,enforcement,0.5.0,8.082668874372528e-17,0.5,8.082668874372528e-17,0.5,0,,0,0,0.0,0.0,0.0
0.350000,enforcement,0.5.0,8.817456953860946e-17,0.5,8.817456953860946e-17,0.5,0,,0,0,0.0,0.0,0.0
0.400000,enforcement,0.5.0,9.552245033349357e-17,0.5,9.552245033349357e-17,0.5,0,,0,0,0.0,0.0,0.0
0.450000,enforcement,0.5.0,1.028703311283777e-16,0.5,1.028703311283777e-16,0.5,0,,0,0,0.0,0.0,0.0
0.500000,enforcement,0.5.0,1.1021821192326188e-16,0.5,1.1021821192326188e-16,0.5,0,,0,0,0.0,0.0,0.0
0.550000,enforcement,0.5.0,1.175660927181459e-16,0.5,1.175660927181459e-16,0.5,0,,0,0,0.0,0.0,0.0
0.600000,enforcement,0.5.0,1.2491397351302995e-16,0.5,1.2491397351302995e-16,0.5,0,,0,0,0.0,0.0,0.0
0.650000,enforcement,0.5.0,1.3226185430791415e-16,0.5,1.3226185430791415e-16,0.5,0,,0,0,0.0,0.0,0.0
0.700000,enforcement,0.5.0,1.3960973510279825e-16,0.5,1.3960973510279825e-16,0.5,0,,0,0,0.0,0.0,0.0
0.750000,enforcement,0.5.0,1.4695761589768238e-16,0.5,1.4695761589768238e-16,0.5,0,,0,0,0.0,0.0,0.0
0.800000,enforcement,0.5.0,1.543054966925665e-16,0.5,1.543054966925665e-16,0.5,0,,0,0,0.0,0.0,0.0
0.850000,enforcement,0.5.0,1.6165337748745073e-16,0.5,1.6165337748745073e-16,0.5,0,,0,0,0.0,0.0,0.0
0.900000,enforcement,0.5.0,1.6900125828233466e-16,0.5,1.6900125828233466e-16,0.5,0,,0,0,0.0,0.0,0.0
0.950000,enforcement,0.5.0,1.7634913907721887e-16,0.5,1.7634913907721887e-16,0.5,0,,0,0,0.0,0.0,0.0
1.000000,enforcement,0.5.0,1.8369701987210307e-16,0.5,1.8369701987210307e-16,0.5,0,,0,0,0.0,0.0,0.0
1.050000,enforcement,0.5.0,1.9104490066698722e-16,0.5,1.9104490066698722e-16,0.5,0,,0,0,0.0,0.0,0.0
1.100000,enforcement,0.5.0,1.9839278146187115e-16,0.5,1.9839278146187115e-16,0.5,0,,0,0,0.0,0.0,0.0
1.150000,enforcement,0.5.0,2.0574066225675533e-16,0.5,2.0574066225675533e-16,0.5,0,,0,0,0.0,0.0,0.0
1.200000,enforcement,0.5.0,2.1308854305163936e-16,0.5,2.1308854305163936e-16,0.5,0,,0,0,0.0,0.0,0.0
1.250000,enforcement,0.5.0,2.2043642384652346e-16,0.5,2.2043642384652346e-16,0.5,0,,0,0,0.0,0.0,0.0
1.300000,enforcement,0.5.0,2.2778430464140754e-16,0.5,2.2778430464140754e-16,0.5,0,,0,0,0.0,0.0,0.0
1.350000,enforcement,0.5.0,2.3513218543629164e-16,0.5,2.3513218543629164e-16,0.5,0,,0,0,0.0,0.0,0.0
1.400000,enforcement,0.5.0,2.4248006623117574e-16,0.5,2.4248006623117574e-16,0.5,0,,0,0,0.0,0.0,0.0
1.450000,enforcement,0.5.0,2.4982794702605985e-16,0.5,2.4982794702605985e-16,0.5,0,,0,0,0.0,0.0,0.0
1.500000,enforcement,0.5.0,2.5717582782094395e-16,0.5,2.5717582782094395e-16,0.5,0,,0,0,0.0,0.0,0.0
1.550000,enforcement,0.5.0,2.6452370861582785e-16,0.5,2.6452370861582785e-16,0.5,0,,0,0,0.0,0.0,0.0
1.600000,enforcement,0.5.0,2.7187158941071216e-16,0.5,2.7187158941071216e-16,0.5,0,,0,0,0.0,0.0,0.0
1.650000,enforcement,0.5.0,2.792194702055967e-16,0.5,2.792194702055967e-16,0.5,0,,0,0,0.0,0.0,0.0
1.700000,enforcement,0.5.0,2.865673510004802e-16,0.5,2.865673510004802e-16,0.5,0,,0,0,0.0,0.0,0.0
1.750000,enforcement,0.5.0,2.939152317953647e-16,0.5,2.939152317953647e-16,0.5,0,,0,0,0.0,0.0,0.0
1.800000,enforcement,0.5.0,3.012631125902486e-16,0.5,3.012631125902486e-16,0.5,0,,0,0,0.0,0.0,0.0
1.850000,enforcement,0.5.0,3.086109933851323e-16,0.5,3.086109933851323e-16,0.5,0,,0,0,0.0,0.0,0.0
1.900000,enforcement,0.5.0,3.1595887418001677e-16,0.5,3.1595887418001677e-16,0.5,0,,0,0,0.0,0.0,0.0
1.950000,enforcement,0.5.0,3.2330675497490083e-16,0.5,3.2330675497490083e-16,0.5,0,,0,0,0.0,0.0,0.0
2.000000,enforcement,0.5.0,3.306546357697853e-16,0.5,3.306546357697853e-16,0.5,0,,0,0,0.0,0.0,0.0
2.050000,enforcement,0.5.0,3.380025165646693e-16,0.5,3.380025165646693e-16,0.5,0,,0,0,0.0,0.0,0.0
2.100000,enforcement,0.5.0,3.453503973595534e-16,0.5,3.453503973595534e-16,0.5,0,,0,0,0.0,0.0,0.0
2.150000,enforcement,0.5.0,3.526982781544375e-16,0.5,3.526982781544375e-16,0.5,0,,0,0,0.0,0.0,0.0
2.200000,enforcement,0.5.0,3.600461589493216e-16,0.5,3.600461589493216e-16,0.5,0,,0,0,0.0,0.0,0.0
2.250000,enforcement,0.5.0,3.673940397442057e-16,0.5,3.673940397442057e-16,0.5,0,,0,0,0.0,0.0,0.0
2.300000,enforcement,0.5.0,3.7474192053909e-16,0.5,3.7474192053909e-16,0.5,0,,0,0,0.0,0.0,0.0
2.350000,enforcement,0.5.0,3.8208980133397395e-16,0.5,3.8208980133397395e-16,0.5,0,,0,0,0.0,0.0,0.0
2.400000,enforcement,0.5.0,3.8943768212885805e-16,0.5,3.8943768212885805e-16,0.5,0,,0,0,0.0,0.0,0.0
2.450000,enforcement,0.5.0,3.9678556292374215e-16,0.5,3.9678556292374215e-16,0.5,0,,0,0,0.0,0.0,0.0
2.500000,enforcement,0.5.0,4.0413344371862626e-16,0.5,4.0413344371862626e-16,0.5,0,,0,0,0.0,0.0,0.0
2.550000,enforcement,0.5.0,4.1148132451351036e-16,0.5,4.1148132451351036e-16,0.5,0,,0,0,0.0,0.0,0.0
2.600000,enforcement,0.5.0,4.1882920530839446e-16,0.5,4.1882920530839446e-16,0.5,0,,0,0,0.0,0.0,0.0
2.650000,enforcement,0.5.0,4.2617708610327856e-16,0.5,4.2617708610327856e-16,0.5,0,,0,0,0.0,0.0,0.0
2.700000,enforcement,0.5.0,4.3352496689816267e-16,0.5,4.3352496689816267e-16,0.5,0,,0,0,0.0,0.0,0.0
2.750000,enforcement,0.5.0,4.4087284769304677e-16,0.5,4.4087284769304677e-16,0.5,0,,0,0,0.0,0.0,0.0
2.800000,enforcement,0.5.0,4.482207284879308e-16,0.5,4.482207284879308e-16,0.5,0,,0,0,0.0,0.0,0.0
2.850000,enforcement,0.5.0,4.55568609282815e-16,0.5,4.55568609282815e-16,0.5,0,,0,0,0.0,0.0,0.0
2.900000,enforcement,0.5.0,4.62916490077699e-16,0.5,4.62916490077699e-16,0.5,0,,0,0,0.0,0.0,0.0
