stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1787058763.469,bad_width,0.08851,0.17411,0.14574,4,0.458,ok
1787058763.669,bad_width,0.06877,0.04722,0.18677,4,0.750,ok
1787058763.869,bad_width,0.06802,0.05030,0.18705,4,0.708,ok
1787058764.069,bad_width,0.06587,0.04840,0.19204,4,0.729,ok
1787058764.269,bad_width,-0.12417,-0.07639,0.14714,4,0.604,ok
1787058764.519,bad_width,0.06178,0.04847,0.19889,4,0.750,ok
1787058764.719,bad_width,0.06303,0.04887,0.19787,4,0.729,ok
1787058764.919,bad_width,0.08069,0.04907,0.16281,4,0.729,ok
1787058765.119,bad_width,0.06603,0.04480,0.19236,4,0.812,ok
1787058765.318,bad_width,0.06227,0.04676,0.19916,4,0.750,ok
1787058765.521,bad_width,0.06006,0.17210,0.20155,4,0.438,ok
1787058765.969,bad_width,0.06227,0.04941,0.19863,4,0.771,ok
1787058766.168,bad_width,0.07170,0.04765,0.18187,4,0.750,ok
1787058766.369,bad_width,0.06216,0.04965,0.20123,4,0.812,ok
1787058766.568,bad_width,0.06790,0.04693,0.18843,4,0.812,ok
1787058766.769,bad_width,0.06810,0.04697,0.18927,4,0.750,ok
1787058767.418,bad_width,0.06023,0.05206,0.20181,4,0.750,ok
1787058767.619,bad_width,0.05553,0.05139,0.20945,4,0.792,ok
1787058767.868,bad_width,0.05944,0.16999,0.20221,4,0.438,ok
1787058768.069,bad_width,0.06234,0.04874,0.19992,4,0.750,ok
1787058768.269,bad_width,0.06369,0.04799,0.19658,4,0.750,ok
1787058768.469,bad_width,-0.19721,-0.07417,0.29406,4,0.583,ok
1787058768.669,bad_width,0.06369,0.04982,0.19733,4,0.729,ok
1787058768.919,bad_width,0.06740,0.04686,0.19011,4,0.833,ok
1787058769.118,bad_width,0.06381,0.04921,0.19766,4,0.729,ok
1787058769.319,bad_width,0.08859,0.17029,0.14545,4,0.458,ok
1787058769.519,bad_width,0.08049,0.04809,0.16396,4,0.729,ok
1787058769.969,bad_width,0.06276,0.04934,0.19906,4,0.750,ok
1787058770.369,bad_width,0.06449,0.05285,0.19513,4,0.771,ok
1787058770.619,bad_width,0.06568,0.05384,0.19544,4,0.750,ok
1787058771.020,bad_width,0.07026,0.05721,0.18659,4,0.750,ok
1787058771.219,bad_width,0.08270,0.18225,0.15936,4,0.458,ok
1787058771.418,bad_width,0.06344,0.18441,0.19722,4,0.458,ok
1787058771.669,bad_width,0.06022,0.06064,0.20825,4,0.729,ok
1787058771.869,bad_width,0.06136,0.05916,0.20582,4,0.729,ok
1787058772.069,bad_width,0.08136,0.18924,0.16202,4,0.458,ok
1787058772.269,bad_width,0.06503,0.06384,0.19827,4,0.729,ok
1787058772.469,bad_width,0.06645,0.05837,0.19979,4,0.792,ok
1787058772.669,bad_width,0.08248,0.18937,0.16112,4,0.479,ok
1787058772.918,bad_width,0.08530,0.18859,0.15979,4,0.458,ok
1787058773.118,bad_width,0.07192,0.05888,0.19213,4,0.688,ok
1787058773.318,bad_width,0.07217,0.06353,0.19254,4,0.667,ok
1787058773.518,bad_width,0.07305,-0.06450,0.17683,4,0.562,ok
1787058773.768,bad_width,0.07193,0.06434,0.19019,4,0.729,ok
1787058773.969,bad_width,-0.10503,-0.06304,0.17941,4,0.604,ok
1787058774.168,bad_width,0.08938,0.05472,0.15843,4,0.896,ok
1787058774.368,bad_width,0.09044,0.05388,0.15641,4,0.854,ok
1787058774.569,bad_width,-0.10917,-0.06494,0.17344,4,0.542,ok
1787058774.769,bad_width,0.08848,0.05998,0.15528,4,0.875,ok
1787058774.968,bad_width,-0.08655,-0.06105,0.19657,4,0.583,ok
1787058775.219,bad_width,0.08766,0.06133,0.15791,4,0.812,ok
1787058775.418,bad_width,0.08991,0.06112,0.15506,4,0.854,ok
1787058775.618,bad_width,0.07055,0.06326,0.19310,4,0.708,ok
1787058775.819,bad_width,-0.13810,-0.06344,0.20324,4,0.583,ok
1787058776.069,bad_width,-0.11151,-0.06432,0.17203,4,0.542,ok
1787058776.269,bad_width,0.07124,0.06446,0.19288,4,0.667,ok
1787058776.469,bad_width,-0.11024,-0.06124,0.17184,4,0.542,ok
1787058776.668,bad_width,0.09349,0.18064,0.14629,4,0.479,ok
1787058776.869,bad_width,0.08086,0.18064,0.15497,4,0.417,ok
1787058777.119,bad_width,0.07105,0.06655,0.19015,4,0.708,ok
1787058777.318,bad_width,0.07055,0.05991,0.19330,4,0.688,ok
1787058777.518,bad_width,0.07185,0.06228,0.19036,4,0.729,ok
1787058777.719,bad_width,0.07153,0.06151,0.18977,4,0.688,ok
1787058777.918,bad_width,0.06752,0.18302,0.19503,4,0.417,ok
1787058778.169,bad_width,0.06267,0.06095,0.19490,4,0.688,ok
1787058778.369,bad_width,0.07176,0.06397,0.18881,4,0.688,ok
1787058778.769,bad_width,0.09338,0.18496,0.14362,4,0.438,ok
1787058779.019,bad_width,0.08203,0.19264,0.16175,5,0.458,ok
1787058779.219,bad_width,0.07085,0.06397,0.18962,4,0.708,ok
1787058779.618,bad_width,0.07985,0.18859,0.16959,4,0.438,ok
1787058779.869,bad_width,-0.10739,-0.06020,0.16495,4,0.583,ok
1787058780.069,bad_width,0.06535,0.06572,0.19955,4,0.729,ok
1787058780.269,bad_width,0.07052,0.06210,0.19048,4,0.708,ok
1787058780.469,bad_width,-0.10974,-0.06020,0.17102,4,0.583,ok
1787058780.668,bad_width,0.07073,0.06171,0.19090,4,0.667,ok
1787058781.068,bad_width,-0.11511,-0.06020,0.16121,4,0.625,ok
1787058781.268,bad_width,0.07192,0.05801,0.19039,4,0.667,ok
1787058781.518,bad_width,0.07087,0.06087,0.18921,4,0.688,ok
1787058781.719,bad_width,0.07925,0.18859,0.17047,4,0.438,ok
1787058781.918,bad_width,0.09071,0.18257,0.14800,4,0.479,ok
1787058782.118,bad_width,0.07079,0.06158,0.18987,4,0.667,ok
1787058782.318,bad_width,0.07064,0.06328,0.19041,4,0.667,ok
1787058782.519,bad_width,0.07081,0.06699,0.19021,4,0.688,ok
