timestep,raw_steer
10,-0.303422
20,0.934978
30,-0.864054
40,-0.947255
50,-0.145827
60,-1.000000
70,0.542377
80,0.192823
90,-0.160281
100,0.113614
110,-0.097318
120,1.000000
130,1.000000
140,-1.000000
150,-1.000000
160,0.194144
170,0.183509
180,0.742185
190,0.032031
200,-0.717915
210,1.000000
220,-0.454209
230,0.119595
240,-0.443236
250,1.000000
260,1.000000
270,0.224437
280,-1.000000
290,0.604575
300,-0.207748
310,-0.004179
320,0.444438
330,1.000000
340,-0.730233
350,-1.000000
360,0.153326
370,-0.012668
380,-1.000000
390,-0.105445
400,0.965043
410,0.168372
420,1.000000
430,1.000000
440,0.237344
450,0.050699
460,-0.230912
470,1.000000
480,-0.610337
490,-0.111441
500,1.000000
510,1.000000
520,-1.000000
530,0.245960
540,-1.000000
550,1.000000
560,1.000000
570,-0.484435
580,-0.041498
590,1.000000
600,0.939888
610,0.662089
620,1.000000
630,-0.804418
640,-0.133563
650,-0.932969
660,-0.461393
670,-0.112748
680,-0.025726
690,-0.720550
700,1.000000
710,-1.000000
720,-0.529823
730,-1.000000
740,0.347374
750,-1.000000
760,-1.000000
770,0.222376
780,0.888012
790,0.993163
800,-1.000000
810,0.723626
820,0.297679
830,-0.228014
840,0.361122
850,0.690125
860,0.111824
870,1.000000
880,-1.000000
890,1.000000
900,-0.555089
910,-0.588321
920,1.000000
930,0.944895
940,-1.000000
950,-0.519592
960,0.528803
970,0.059460
980,-0.608142
990,0.037891
1000,1.000000
1010,1.000000
1020,-0.542059
1030,0.747292
1040,-1.000000
1050,-1.000000
1060,-0.211235
1070,-1.000000
1080,0.456456
1090,-1.000000
1100,0.774328
1110,-0.152149
1120,-0.326337
1130,-0.451720
1140,-0.096873
1150,0.737028
1160,-0.402308
1170,0.753218
1180,0.781847
1190,-0.661397
1200,-0.523051
1210,-0.740707
1220,-0.461470
1230,-1.000000
1240,0.188472
1250,1.000000
1260,1.000000
1270,-0.657324
1280,1.000000
1290,-0.366154
1300,-1.000000
1310,0.711067
1320,0.948616
1330,1.000000
1340,-1.000000
1350,-1.000000
1360,-1.000000
1370,0.992335
1380,-0.508230
1390,0.394756
1400,-0.134663
1410,-0.554807
1420,-0.898254
1430,1.000000
1440,0.197642
1450,1.000000
1460,-0.942279
1470,1.000000
1480,0.486543
1490,1.000000
1500,-1.000000
1510,-0.688550
1520,-0.196002
1530,0.060905
1540,-0.301629
1550,0.422920
1560,0.192491
1570,-0.853283
1580,-1.000000
1590,0.734586
1600,0.989118
1610,0.531803
1620,1.000000
1630,-1.000000
1640,0.951952
1650,-1.000000
1660,-1.000000
1670,0.090643
1680,0.510263
1690,-0.711050
1700,-0.196129
1710,0.226210
1720,0.408681
1730,-0.168925
1740,0.700665
1750,-0.650513
1760,-0.941353
1770,-0.931954
1780,-1.000000
1790,1.000000
1800,0.977538
1810,1.000000
1820,0.517262
1830,-0.613322
1840,0.071874
1850,0.391285
1860,0.254655
1870,0.067922
1880,0.283354
1890,0.841452
1900,1.000000
1910,0.586458
1920,-0.473421
1930,0.990330
1940,1.000000
1950,0.489308
1960,-0.649881
1970,1.000000
1980,0.082061
1990,0.752767
2000,-1.000000
2010,1.000000
2020,0.542105
2030,-1.000000
2040,-0.046788
2050,-0.868815
2060,-0.709188
2070,-0.925598
2080,-0.867992
2090,0.306335
2100,1.000000
2110,1.000000
2120,0.396341
2130,-0.400426
2140,0.734396
2150,-1.000000
2160,1.000000
2170,-0.099241
2180,0.718985
2190,-0.503566
2200,-0.027005
2210,-1.000000
2220,0.197786
2230,0.638272
2240,-0.771276
2250,0.372555
2260,0.084650
2270,-0.403791
2280,0.305255
2290,0.107804
2300,1.000000
2310,-1.000000
2320,0.012207
2330,1.000000
2340,-1.000000
2350,-0.334873
2360,0.415231
2370,0.017660
2380,1.000000
2390,1.000000
2400,-1.000000
2410,-0.245674
2420,-0.342393
2430,-0.037411
2440,-0.638272
2450,-1.000000
2460,-1.000000
2470,-0.220884
2480,1.000000
2490,-0.189488
2500,0.796120
2510,0.030837
2520,0.491876
2530,0.112999
2540,0.527737
2550,0.607068
2560,-0.238251
2570,0.284333
2580,-0.213098
2590,-0.594479
2600,-0.538832
2610,-1.000000
2620,0.122278
2630,-0.483406
2640,-1.000000
2650,1.000000
2660,0.803583
2670,-0.340080
2680,-0.994340
2690,-0.680812
2700,0.045308
2710,1.000000
2720,-0.226969
2730,-1.000000
2740,-0.614441
2750,-0.061771
2760,-0.134405
2770,-0.191666
2780,0.198762
2790,-1.000000
2800,0.320790
2810,-1.000000
2820,0.334691
2830,-0.907839
2840,-0.588322
2850,1.000000
2860,-0.297479
2870,0.943298
2880,-1.000000
2890,0.281022
2900,-0.491968
2910,1.000000
2920,-1.000000
2930,1.000000
2940,0.484638
2950,-0.484099
2960,0.271000
2970,-1.000000
2980,0.113998
2990,0.952948
3000,-0.098596
3010,-0.330792
3020,-0.149283
3030,0.800612
3040,-1.000000
3050,1.000000
3060,0.628398
3070,-0.355731
3080,-1.000000
3090,-0.164926
3100,0.515972
3110,-1.000000
3120,0.760670
3130,0.410801
3140,-0.941992
3150,0.436995
3160,1.000000
3170,-1.000000
3180,1.000000
3190,-0.428722
3200,-1.000000
3210,1.000000
3220,0.141240
3230,1.000000
3240,-0.906461
3250,0.718249
3260,-1.000000
3270,1.000000
3280,0.890232
3290,0.505589
3300,-0.973171
3310,1.000000
3320,0.490099
3330,0.322094
3340,1.000000
3350,0.251894
3360,-0.174650
3370,1.000000
3380,-0.551733
3390,-0.011165
3400,1.000000
3410,-0.382920
3420,-0.446806
3430,0.290767
3440,-0.069220
3450,0.622089
3460,-1.000000
3470,0.080924
3480,0.845453
3490,0.327662
3500,-0.552181
3510,1.000000
3520,0.071309
3530,0.351030
3540,-1.000000
3550,-1.000000
3560,-0.029684
3570,-1.000000
3580,0.360087
3590,-0.738144
3600,-0.218441
3610,1.000000
3620,-0.974330
3630,-1.000000
3640,0.410217
3650,-0.247398
3660,-0.015735
3670,1.000000
3680,0.020244
3690,0.032033
3700,1.000000
3710,-0.635830
3720,-0.234380
3730,-1.000000
3740,0.509018
3750,-1.000000
3760,0.305098
3770,-0.082909
3780,-1.000000
3790,-1.000000
3800,0.579850
3810,0.316446
3820,1.000000
3830,1.000000
3840,0.078710
3850,0.296454
3860,-1.000000
3870,-1.000000
3880,1.000000
3890,-0.217027
3900,-0.706700
3910,-0.399795
3920,0.796566
3930,-1.000000
3940,-0.721432
3950,1.000000
3960,-0.362133
3970,1.000000
3980,-0.696263
3990,-0.574150
4000,1.000000
4010,-1.000000
4020,-0.288015
4030,-0.033932
4040,-0.808922
4050,1.000000
4060,-0.610347
4070,-0.340383
4080,-0.589983
4090,0.230804
4100,-0.987027
4110,1.000000
4120,-0.238430
4130,0.471045
4140,-0.897692
4150,-0.464482
4160,-0.941016
4170,1.000000
4180,1.000000
4190,1.000000
4200,-1.000000
4210,0.721299
4220,-1.000000
4230,0.632208
4240,0.951690
4250,-0.119858
4260,-0.836967
4270,-1.000000
4280,0.658789
4290,1.000000
4300,-0.234835
4310,0.553754
4320,0.826780
4330,-1.000000
4340,-0.066906
4350,1.000000
4360,0.159790
4370,1.000000
4380,-1.000000
4390,0.634857
4400,1.000000
4410,-1.000000
4420,0.743554
4430,-0.249497
4440,0.775893
4450,0.724077
4460,-0.525044
4470,-1.000000
4480,0.150410
4490,-1.000000
4500,1.000000
4510,0.310052
4520,-0.063307
4530,0.566610
4540,-0.949827
4550,1.000000
4560,0.718089
4570,-0.606885
4580,0.676328
4590,-1.000000
4600,0.196308
4610,-1.000000
4620,-0.105191
4630,0.087501
4640,-0.444253
4650,1.000000
4660,0.776960
4670,-1.000000
4680,0.731992
4690,-0.278433
4700,0.962434
4710,1.000000
4720,1.000000
4730,1.000000
4740,-0.576890
4750,0.321265
4760,1.000000
4770,0.742629
4780,-0.271793
4790,0.248032
4800,0.297532
4810,1.000000
4820,0.855963
4830,-0.551912
4840,0.551590
4850,0.929778
4860,-0.199157
4870,-0.025531
4880,-1.000000
4890,-0.492170
4900,0.212255
4910,-0.782972
4920,1.000000
4930,1.000000
4940,0.794258
4950,-1.000000
4960,1.000000
4970,0.980215
4980,-0.109377
4990,0.468038
5000,1.000000
5010,0.924643
5020,1.000000
5030,0.549973
5040,0.113621
5050,0.122782
5060,-0.887050
5070,-0.662752
5080,0.326232
5090,1.000000
5100,1.000000
5110,0.676998
5120,1.000000
5130,-0.060616
5140,0.249132
5150,0.719218
5160,0.051566
5170,0.482670
5180,0.529468
5190,0.532589
5200,-0.583401
5210,-0.314559
5220,1.000000
5230,0.051083
5240,0.104842
5250,0.622830
5260,-0.387150
5270,1.000000
5280,0.124869
5290,-0.696843
5300,0.690777
5310,0.202260
5320,-0.512755
5330,-1.000000
5340,-0.617167
5350,0.632294
5360,0.050768
