stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1788182972.070,bad_width,0.01621,0.01332,0.29350,2,0.417,ok
1788182972.170,bad_width,0.01640,0.01737,0.30465,2,0.417,ok
1788182972.270,bad_width,0.01316,0.02698,0.30272,3,0.417,ok
1788182972.270,bad_width,0.01316,0.02698,0.30272,3,0.417,ok
1788182972.470,bad_width,0.01610,0.07262,0.29371,3,0.438,ok
1788182972.520,unpaired,0.01661,-0.08334,0.28618,3,0.188,single_line
1788182973.020,bad_width,0.00538,0.02838,0.29538,2,0.417,ok
1788182973.320,unpaired,0.02059,-0.11502,0.27707,2,0.208,single_line
1788182973.620,bad_width,-0.01830,-0.20474,0.19730,3,0.292,ok
1788182973.820,bad_width,0.05158,-0.09351,0.20190,2,0.458,ok
1788182973.920,bad_width,0.00516,0.03419,0.29070,2,0.396,ok
1788182973.970,bad_width,-0.03417,-0.12955,0.20623,3,0.312,ok
1788182974.171,bad_width,0.05735,-0.18563,0.18089,3,0.354,ok
1788182974.320,bad_width,0.06374,-0.07875,0.17520,3,0.458,ok
1788182974.370,bad_width,-0.01489,-0.07875,0.33083,2,0.458,ok
1788182974.420,bad_width,0.05149,-0.01695,0.20382,3,0.500,ok
1788182974.470,unpaired,0.02845,-0.05825,0.24400,3,0.208,single_line
1788182974.520,unpaired,0.01725,0.01852,0.24400,4,0.229,single_line
1788182974.770,bad_width,-0.03110,-0.17531,0.15745,4,0.312,ok
1788182974.821,bad_width,0.06363,-0.19758,0.19835,4,0.375,ok
1788182975.170,bad_width,-0.02281,0.02443,0.15004,3,0.396,ok
1788182975.219,bad_width,0.06289,-0.29436,0.18819,3,0.333,ok
1788182975.321,bad_width,0.06006,-0.29125,0.19408,3,0.354,ok
1788182975.370,bad_width,0.08754,-0.35532,0.16087,3,0.354,ok
1788182975.419,bad_width,0.07812,-0.32573,0.16456,3,0.333,ok
1788182975.620,bad_width,0.07899,-0.00779,0.20162,3,0.521,ok
1788182975.721,bad_width,0.08586,-0.05926,0.19532,3,0.458,ok
1788182975.870,unpaired,0.07831,-0.12898,0.21837,3,0.208,single_line
1788182975.970,bad_width,0.02258,-0.01243,0.32487,3,0.438,ok
1788182976.120,bad_width,0.03947,-0.05926,0.32039,2,0.458,ok
1788182976.170,bad_width,0.03654,0.00386,0.31287,2,0.500,ok
1788182976.421,unpaired,0.04713,-0.11221,0.26915,4,0.208,single_line
1788182976.620,unpaired,0.01227,-0.57073,0.25572,3,0.104,single_line
1788182976.670,bad_width,0.00231,-0.01867,0.33620,4,0.354,ok
1788182976.720,bad_width,0.01626,-0.00582,0.31547,4,0.604,ok
1788182976.770,bad_width,0.01420,0.02257,0.20640,3,0.500,ok
1788182977.120,bad_width,0.03026,0.00263,0.29938,2,0.458,ok
1788182977.270,bad_width,0.03563,0.02828,0.29030,3,0.500,ok
1788182977.320,bad_width,0.10090,0.05413,0.16994,3,0.500,ok
1788182977.570,bad_width,-0.00693,0.03887,0.18410,4,0.479,ok
1788182977.621,bad_width,0.10390,-0.20420,0.14391,3,0.333,ok
1788182977.920,bad_width,0.02979,0.01849,0.30485,3,0.438,ok
1788182978.420,bad_width,0.07715,-0.11053,0.17683,4,0.375,ok
1788182978.470,bad_width,0.08684,-0.13824,0.15442,4,0.396,ok
1788182978.520,bad_width,0.09082,-0.08146,0.17726,4,0.292,ok
1788182978.819,bad_width,0.02347,0.02313,0.31314,4,0.479,ok
1788182978.870,bad_width,0.04981,0.02815,0.20684,4,0.396,ok
1788182979.020,bad_width,-0.05600,0.04612,0.18296,3,0.417,ok
1788182979.119,bad_width,-0.05949,0.04532,0.17459,3,0.438,ok
1788182979.170,bad_width,-0.05386,0.01158,0.16005,3,0.438,ok
1788182979.220,bad_width,-0.06767,0.04532,0.16376,3,0.396,ok
1788182979.270,unpaired,0.04912,0.00896,0.20697,4,0.229,single_line
1788182979.320,bad_width,0.06196,-0.36352,0.18193,3,0.333,ok
1788182979.419,bad_width,0.04848,0.02663,0.19768,3,0.438,ok
