timestamp,mode,cage_version,raw_steering,raw_throttle,safe_steering,safe_throttle,emergency,rules_fired,cycles_since_last_state,oscillation_persistent,osc_rate_c01,osc_rate_c02,osc_rate_c03,ey,epsi,speed,kappa_ahead
1788187557.616793,monitoring,0.6.1,-0.19246715307235718,0.769578754901886,-0.19246715307235718,0.769578754901886,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29852225412083605,0.35607673294053716,0.00032022978892114044,-0.695340222468645
1788187557.711264,monitoring,0.6.1,-0.19172418117523193,0.7699998915195465,-0.19172418117523193,0.7699998915195465,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2962186518193759,0.3341269585208448,0.00019137112223159436,-0.7228698049645379
1788187557.794825,monitoring,0.6.1,-0.19617129862308502,0.7694872915744781,-0.19617129862308502,0.7694872915744781,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29458445870750255,0.30346799506616773,0.00010765734431379616,-0.7174719626980177
1788187557.950924,monitoring,0.6.1,-0.1226123496890068,0.7732278108596802,-0.1226123496890068,0.7732278108596802,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29458445870750255,0.30346799506616773,0.00010765734431379616,-0.7174719626980177
1788187558.015488,monitoring,0.6.1,-0.2636982202529907,0.7344151586294174,-0.2636982202529907,0.7344151586294174,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29458445870750255,0.30346799506616773,0.00010765734431379616,-0.7174719626980177
1788187558.086684,monitoring,0.6.1,-0.18817000091075897,0.798708438873291,-0.18817000091075897,0.798708438873291,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29458445870750255,0.30346799506616773,0.00010765734431379616,-0.7174719626980177
1788187558.198164,monitoring,0.6.1,-0.18459615111351013,0.8008348345756531,-0.18459615111351013,0.8008348345756531,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29553591921520805,0.36100053745461025,0.023497381631093227,-0.7124994016820226
1788187558.297611,monitoring,0.6.1,-0.21565358340740204,0.7842199802398682,-0.21565358340740204,0.7842199802398682,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.286847004392286,0.284182204079792,0.018054861577507512,-0.7650700310026477
1788187558.408502,monitoring,0.6.1,-0.1488184779882431,0.7913028597831726,-0.1488184779882431,0.7913028597831726,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2903576243651408,0.33992624631049245,0.018019670409729734,-0.6926174799630634
1788187558.492825,monitoring,0.6.1,-0.2085948884487152,0.8122191429138184,-0.2085948884487152,0.8122191429138184,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2903576243651408,0.33992624631049245,0.018019670409729734,-0.6926174799630634
1788187558.600883,monitoring,0.6.1,-0.14128239452838898,0.7900082767009735,-0.14128239452838898,0.7900082767009735,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2895260503064204,0.24317681656682344,0.011619673435097079,-0.7422795456991811
1788187558.712661,monitoring,0.6.1,-0.19416821002960205,0.8032894134521484,-0.19416821002960205,0.8032894134521484,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2895260503064204,0.24317681656682344,0.011619673435097079,-0.7422795456991811
1788187558.806374,monitoring,0.6.1,-0.18491201102733612,0.8030723929405212,-0.18491201102733612,0.8030723929405212,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29392174146433514,0.3707410789083132,0.009058968521528803,-0.7345409676921355
1788187558.913033,monitoring,0.6.1,-0.18333935737609863,0.8018694519996643,-0.18333935737609863,0.8018694519996643,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29392174146433514,0.3707410789083132,0.009863372406593351,-0.7345409676921355
1788187559.101813,monitoring,0.6.1,-0.18664583563804626,0.8029091656208038,-0.18664583563804626,0.8029091656208038,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29315434008190006,0.34525736097538995,0.01000227490429807,-0.7304984195986859
1788187559.205263,monitoring,0.6.1,-0.185573011636734,0.8027384877204895,-0.185573011636734,0.8027384877204895,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29315434008190006,0.34525736097538995,0.01000227490429807,-0.7304984195986859
1788187559.292999,monitoring,0.6.1,-0.18660496175289154,0.802550882101059,-0.18660496175289154,0.802550882101059,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2946409418295111,0.24317681656682344,0.006838405604053713,-0.7242319718415433
1788187559.409367,monitoring,0.6.1,-0.18399691581726074,0.8021345734596252,-0.18399691581726074,0.8021345734596252,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29398066194402306,0.3036786203310069,0.004894368364208361,-0.7311989523909375
1788187559.490353,monitoring,0.6.1,-0.18267711997032166,0.8018667697906494,-0.18267711997032166,0.8018667697906494,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29398066194402306,0.3036786203310069,0.004894368364208361,-0.7311989523909375
1788187559.593240,monitoring,0.6.1,-0.1871061623096466,0.8016190528869629,-0.1871061623096466,0.8016190528869629,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29131193912111986,0.25052305356183857,0.0041596430630481945,-0.7423278793962043
1788187559.719989,monitoring,0.6.1,-0.1856858730316162,0.8019276261329651,-0.1856858730316162,0.8019276261329651,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2899348697436789,0.35709550634919957,0.003492708283624443,-0.762806515502504
1788187559.794276,monitoring,0.6.1,-0.18721024692058563,0.8025802671909332,-0.18721024692058563,0.8025802671909332,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2899348697436789,0.35709550634919957,0.003492708283624443,-0.762806515502504
1788187559.888968,monitoring,0.6.1,-0.18541400134563446,0.8026351630687714,-0.18541400134563446,0.8026351630687714,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29043956642735425,0.3502198948808749,0.003912094839213657,-0.7437979130218507
