event,reason,trigger_time,frame_stamp,filename
1,perception_invalid,1788187556.008085,1788187552.997025,e01_1788187552.997025.png
1,perception_invalid,1788187556.008085,1788187553.046309,e01_1788187553.046309.png
1,perception_invalid,1788187556.008085,1788187553.146654,e01_1788187553.146654.png
1,perception_invalid,1788187556.008085,1788187553.196390,e01_1788187553.196390.png
1,perception_invalid,1788187556.008085,1788187553.296609,e01_1788187553.296609.png
1,perception_invalid,1788187556.008085,1788187553.346678,e01_1788187553.346678.png
1,perception_invalid,1788187556.008085,1788187553.396895,e01_1788187553.396895.png
1,perception_invalid,1788187556.008085,1788187553.446495,e01_1788187553.446495.png
1,perception_invalid,1788187556.008085,1788187553.846070,e01_1788187553.846070.png
1,perception_invalid,1788187556.008085,1788187553.896082,e01_1788187553.896082.png
1,perception_invalid,1788187556.008085,1788187553.946170,e01_1788187553.946170.png
1,perception_invalid,1788187556.008085,1788187553.996429,e01_1788187553.996429.png
1,perception_invalid,1788187556.008085,1788187554.047664,e01_1788187554.047664.png
1,perception_invalid,1788187556.008085,1788187554.247860,e01_1788187554.247860.png
1,perception_invalid,1788187556.008085,1788187554.297299,e01_1788187554.297299.png
1,perception_invalid,1788187556.008085,1788187554.896594,e01_1788187554.896594.png
1,perception_invalid,1788187556.008085,1788187554.945974,e01_1788187554.945974.png
1,perception_invalid,1788187556.008085,1788187554.996952,e01_1788187554.996952.png
1,perception_invalid,1788187556.008085,1788187555.046099,e01_1788187555.046099.png
1,perception_invalid,1788187556.008085,1788187555.096085,e01_1788187555.096085.png
1,perception_invalid,1788187556.008085,1788187555.146028,e01_1788187555.146028.png
1,perception_invalid,1788187556.008085,1788187555.246116,e01_1788187555.246116.png
1,perception_invalid,1788187556.008085,1788187555.297255,e01_1788187555.297255.png
1,perception_invalid,1788187556.008085,1788187555.346107,e01_1788187555.346107.png
1,perception_invalid,1788187556.008085,1788187555.396956,e01_1788187555.396956.png
1,perception_invalid,1788187556.008085,1788187555.446409,e01_1788187555.446409.png
1,perception_invalid,1788187556.008085,1788187555.497293,e01_1788187555.497293.png
1,perception_invalid,1788187556.008085,1788187555.546473,e01_1788187555.546473.png
1,perception_invalid,1788187556.008085,1788187555.596439,e01_1788187555.596439.png
1,perception_invalid,1788187556.008085,1788187555.646283,e01_1788187555.646283.png
1,perception_invalid,1788187556.008085,1788187555.696345,e01_1788187555.696345.png
1,perception_invalid,1788187556.008085,1788187555.746534,e01_1788187555.746534.png
1,perception_invalid,1788187556.008085,1788187555.797089,e01_1788187555.797089.png
1,perception_invalid,1788187556.008085,1788187555.846502,e01_1788187555.846502.png
1,perception_invalid,1788187556.008085,1788187555.896828,e01_1788187555.896828.png
1,perception_invalid,1788187556.008085,1788187555.946628,e01_1788187555.946628.png
1,perception_invalid,1788187556.008085,1788187555.996453,e01_1788187555.996453.png
1,perception_invalid,1788187556.008085,1788187556.046841,e01_1788187556.046841.png
1,perception_invalid,1788187556.008085,1788187556.097932,e01_1788187556.097932.png
1,perception_invalid,1788187556.008085,1788187556.146672,e01_1788187556.146672.png
1,perception_invalid,1788187556.008085,1788187556.196583,e01_1788187556.196583.png
1,perception_invalid,1788187556.008085,1788187556.246455,e01_1788187556.246455.png
1,perception_invalid,1788187556.008085,1788187556.297128,e01_1788187556.297128.png
1,perception_invalid,1788187556.008085,1788187556.446352,e01_1788187556.446352.png
1,perception_invalid,1788187556.008085,1788187556.496773,e01_1788187556.496773.png
1,perception_invalid,1788187556.008085,1788187556.546807,e01_1788187556.546807.png
1,perception_invalid,1788187556.008085,1788187556.598875,e01_1788187556.598875.png
1,perception_invalid,1788187556.008085,1788187556.646743,e01_1788187556.646743.png
1,perception_invalid,1788187556.008085,1788187556.746935,e01_1788187556.746935.png
1,perception_invalid,1788187556.008085,1788187556.798460,e01_1788187556.798460.png
1,perception_invalid,1788187556.008085,1788187556.847505,e01_1788187556.847505.png
1,perception_invalid,1788187556.008085,1788187556.897792,e01_1788187556.897792.png
1,perception_invalid,1788187556.008085,1788187556.996137,e01_1788187556.996137.png
1,perception_invalid,1788187556.008085,1788187557.046320,e01_1788187557.046320.png
1,perception_invalid,1788187556.008085,1788187557.097270,e01_1788187557.097270.png
1,perception_invalid,1788187556.008085,1788187557.146599,e01_1788187557.146599.png
1,perception_invalid,1788187556.008085,1788187557.246395,e01_1788187557.246395.png
1,perception_invalid,1788187556.008085,1788187557.296228,e01_1788187557.296228.png
1,perception_invalid,1788187556.008085,1788187557.346205,e01_1788187557.346205.png
1,perception_invalid,1788187556.008085,1788187557.396426,e01_1788187557.396426.png
1,perception_invalid,1788187556.008085,1788187557.446569,e01_1788187557.446569.png
1,perception_invalid,1788187556.008085,1788187557.547170,e01_1788187557.547170.png
1,perception_invalid,1788187556.008085,1788187557.599214,e01_1788187557.599214.png
1,perception_invalid,1788187556.008085,1788187557.647051,e01_1788187557.647051.png
1,perception_invalid,1788187556.008085,1788187557.697201,e01_1788187557.697201.png
1,perception_invalid,1788187556.008085,1788187557.746617,e01_1788187557.746617.png
1,perception_invalid,1788187556.008085,1788187557.847123,e01_1788187557.847123.png
1,perception_invalid,1788187556.008085,1788187557.896239,e01_1788187557.896239.png
1,perception_invalid,1788187556.008085,1788187557.946327,e01_1788187557.946327.png
1,perception_invalid,1788187556.008085,1788187557.996208,e01_1788187557.996208.png
1,perception_invalid,1788187556.008085,1788187558.046076,e01_1788187558.046076.png
1,perception_invalid,1788187556.008085,1788187558.096490,e01_1788187558.096490.png
