episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,22,-0.407120,-1.626582,-0.010836,-0.004082,-0.010836,2.431816,0.199993,-0.106221,-0.106221,0.000000,0.500000,0.500000,0.000000,C-06;C-01;C-05,1,1,0,1,1,0,-0.287134,-0.005046,0.6042,0.1225,0.3152,2,ok
0,23,-0.383124,-1.626724,-0.024850,-0.004224,-0.024850,2.455812,0.199945,-0.171100,-0.171100,0.000000,0.500000,0.500000,0.000000,C-01;C-05,1,1,0,1,1,0,-0.268324,0.000085,0.5833,0.0528,0.2805,2,ok
0,24,-0.363128,-1.627182,-0.015567,-0.004682,-0.015567,2.475807,0.200034,0.169346,0.169346,0.000000,0.500000,0.500000,0.000000,C-06;C-01;C-05,1,1,0,1,1,0,-0.288339,-0.013028,0.5417,0.1290,0.3120,2,ok
0,25,-0.343129,-1.627673,-0.001478,-0.005173,-0.001478,2.495806,0.200060,0.203274,0.203274,0.000000,0.500000,0.500000,0.000000,C-01;C-05,1,1,0,1,1,0,-0.288130,-0.020141,0.5000,0.1303,0.3125,2,ok
0,26,-0.323129,-1.627741,-0.000859,-0.005241,-0.000859,2.515806,0.200000,-0.006118,-0.006118,0.000000,0.500000,0.500000,0.000000,C-06;C-01;C-05,1,1,0,1,1,0,-0.286160,-0.003035,0.5625,0.1208,0.3118,2,ok
0,27,-0.299129,-1.627783,-0.005034,-0.005283,-0.005034,2.539806,0.199998,-0.052070,-0.052070,0.000000,0.500000,0.500000,0.000000,C-01;C-05,1,1,0,1,1,0,-0.271241,0.006350,0.6042,0.0691,0.2835,2,ok
0,28,-0.275129,-1.627905,0.004278,-0.005405,0.004278,2.563806,0.200001,0.124271,0.124271,0.000000,0.500000,0.500000,0.000000,C-06;C-01;C-05,1,1,0,1,1,0,-0.287134,0.002356,0.6042,0.1250,0.3131,2,ok
0,29,-0.255130,-1.628012,0.010681,-0.005512,0.010681,2.583805,0.199992,0.087998,0.087998,0.000000,0.500000,0.500000,0.000000,C-01;C-05,1,1,0,1,1,0,-0.272453,0.006889,0.6458,0.0774,0.2834,2,ok
0,30,-0.231132,-1.627869,0.013211,-0.005369,0.013211,2.607804,0.199989,0.025879,0.025879,0.000000,0.500000,0.500000,0.000000,C-01;C-05,1,1,0,1,1,0,-0.272743,0.011325,0.6458,0.0804,0.2848,2,ok
0,31,-0.207133,-1.627607,0.005255,-0.005107,0.005255,2.631803,0.200009,-0.104559,-0.104559,0.000000,0.500000,0.500000,0.000000,C-01;C-05,1,1,0,1,1,0,-0.274646,0.017106,0.6250,0.0847,0.2924,2,ok
0,32,-0.183133,-1.627485,0.005580,-0.004985,0.005580,2.655802,0.199999,0.012755,0.012755,0.000000,0.500000,0.500000,0.000000,C-01;C-05,1,1,0,1,1,0,-0.272472,0.015077,0.5833,0.0697,0.2885,2,ok
0,33,-0.159134,-1.627375,0.010155,-0.004875,0.010155,2.679801,0.199992,0.058047,0.058047,0.000000,0.500000,0.500000,0.000000,C-01;C-05,1,1,0,1,1,0,-0.271670,0.011890,0.5833,0.0772,0.2826,2,ok
0,34,-0.139135,-1.627175,0.009573,-0.004675,0.009573,2.699800,0.200002,-0.015009,-0.015009,0.000000,0.500000,0.500000,0.000000,C-01;C-05,1,1,0,1,1,0,-0.271890,0.013208,0.5000,0.0784,0.2890,2,ok
0,35,-0.115136,-1.626922,0.010539,-0.004422,0.010539,2.723799,0.200000,0.013606,0.013606,0.000000,0.500000,0.500000,0.000000,C-01;C-05,1,1,0,1,1,0,-0.273695,0.011995,0.6042,0.0871,0.2922,2,ok
