event,reason,trigger_time,frame_stamp,filename
1,perception_invalid,1788168310.918659,1788168309.409311,e01_1788168309.409311.png
1,perception_invalid,1788168310.918659,1788168309.459069,e01_1788168309.459069.png
1,perception_invalid,1788168310.918659,1788168309.510812,e01_1788168309.510812.png
1,perception_invalid,1788168310.918659,1788168309.559762,e01_1788168309.559762.png
1,perception_invalid,1788168310.918659,1788168309.609178,e01_1788168309.609178.png
1,perception_invalid,1788168310.918659,1788168309.660339,e01_1788168309.660339.png
1,perception_invalid,1788168310.918659,1788168309.709322,e01_1788168309.709322.png
1,perception_invalid,1788168310.918659,1788168309.759204,e01_1788168309.759204.png
1,perception_invalid,1788168310.918659,1788168309.809503,e01_1788168309.809503.png
1,perception_invalid,1788168310.918659,1788168309.859330,e01_1788168309.859330.png
1,perception_invalid,1788168310.918659,1788168309.959904,e01_1788168309.959904.png
1,perception_invalid,1788168310.918659,1788168310.059459,e01_1788168310.059459.png
1,perception_invalid,1788168310.918659,1788168310.115966,e01_1788168310.115966.png
1,perception_invalid,1788168310.918659,1788168310.159304,e01_1788168310.159304.png
1,perception_invalid,1788168310.918659,1788168310.209347,e01_1788168310.209347.png
1,perception_invalid,1788168310.918659,1788168310.259326,e01_1788168310.259326.png
1,perception_invalid,1788168310.918659,1788168310.309098,e01_1788168310.309098.png
1,perception_invalid,1788168310.918659,1788168310.359500,e01_1788168310.359500.png
1,perception_invalid,1788168310.918659,1788168310.409177,e01_1788168310.409177.png
1,perception_invalid,1788168310.918659,1788168310.460370,e01_1788168310.460370.png
1,perception_invalid,1788168310.918659,1788168310.517194,e01_1788168310.517194.png
1,perception_invalid,1788168310.918659,1788168310.560054,e01_1788168310.560054.png
1,perception_invalid,1788168310.918659,1788168310.608915,e01_1788168310.608915.png
1,perception_invalid,1788168310.918659,1788168310.660014,e01_1788168310.660014.png
1,perception_invalid,1788168310.918659,1788168310.709999,e01_1788168310.709999.png
1,perception_invalid,1788168310.918659,1788168310.859356,e01_1788168310.859356.png
1,perception_invalid,1788168310.918659,1788168311.010246,e01_1788168311.010246.png
1,perception_invalid,1788168310.918659,1788168311.109124,e01_1788168311.109124.png
1,perception_invalid,1788168310.918659,1788168311.259599,e01_1788168311.259599.png
1,perception_invalid,1788168310.918659,1788168311.308944,e01_1788168311.308944.png
1,perception_invalid,1788168310.918659,1788168311.359334,e01_1788168311.359334.png
1,perception_invalid,1788168310.918659,1788168311.409499,e01_1788168311.409499.png
1,perception_invalid,1788168310.918659,1788168311.559577,e01_1788168311.559577.png
1,perception_invalid,1788168310.918659,1788168311.611326,e01_1788168311.611326.png
1,perception_invalid,1788168310.918659,1788168311.760414,e01_1788168311.760414.png
1,perception_invalid,1788168310.918659,1788168311.809106,e01_1788168311.809106.png
1,perception_invalid,1788168310.918659,1788168311.859252,e01_1788168311.859252.png
1,perception_invalid,1788168310.918659,1788168311.908989,e01_1788168311.908989.png
1,perception_invalid,1788168310.918659,1788168311.960010,e01_1788168311.960010.png
1,perception_invalid,1788168310.918659,1788168312.009333,e01_1788168312.009333.png
1,perception_invalid,1788168310.918659,1788168312.209440,e01_1788168312.209440.png
1,perception_invalid,1788168310.918659,1788168312.359155,e01_1788168312.359155.png
1,perception_invalid,1788168310.918659,1788168312.459589,e01_1788168312.459589.png
1,perception_invalid,1788168310.918659,1788168312.509455,e01_1788168312.509455.png
1,perception_invalid,1788168310.918659,1788168312.610618,e01_1788168312.610618.png
