timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06,mirror_rate
839616,381.661576,376.860,0.353056,0.008726,-3.441279,0.612561,0.563281,0.044075,0.150391,0.004883,0.000000,0.000977,0.000000,0.000000,0.000977,0.145508,0.780273
840640,381.661576,376.860,0.495451,0.117648,-3.439351,0.321567,0.322917,0.044093,0.171875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.171875,1.000000
841664,383.046217,377.090,0.815380,0.005355,-3.444819,0.397312,0.619141,0.043579,0.125977,0.001953,0.000000,0.000977,0.000000,0.000000,0.000977,0.124023,0.334961
842688,383.046217,377.090,0.472774,0.089881,-3.465819,0.321802,0.404447,0.043552,0.097656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.097656,0.000000
843712,393.896354,386.690,0.776138,0.006111,-3.466160,0.288674,0.590723,0.043377,0.104492,0.003906,0.000000,0.002930,0.000977,0.000000,0.002930,0.101562,0.024414
844736,392.426612,384.870,0.831078,0.094817,-3.474286,0.159149,0.227679,0.043366,0.206055,0.001953,0.011719,0.007812,0.008789,0.000000,0.001953,0.195312,0.037109
845760,392.426612,384.870,0.700665,0.138649,-3.473940,0.404236,0.447690,0.043391,0.178711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.178711,0.000000
846784,393.529897,385.000,0.455542,0.007884,-3.471272,0.409413,0.618899,0.043369,0.140625,0.001953,0.000000,0.000977,0.000000,0.000000,0.001953,0.140625,0.905273
847808,393.529897,385.000,0.690959,0.063699,-3.474314,0.186007,0.311298,0.043386,0.096680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.096680,1.000000
848832,366.587462,357.300,0.904898,0.004057,-3.471736,0.184977,0.554004,0.043242,0.174805,0.006836,0.000000,0.005859,0.011719,0.000000,0.002930,0.166016,0.953125
849856,359.236542,349.750,0.367502,0.227187,-3.482585,0.457917,0.365885,0.043273,0.117188,0.000977,0.000000,0.000977,0.000000,0.000000,0.000977,0.116211,0.000000
850880,359.236542,349.750,0.286440,0.087806,-3.479072,0.622780,0.343750,0.043305,0.135742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.135742,0.000000
851904,365.192343,355.460,0.524727,0.007083,-3.474855,0.539915,0.521250,0.043432,0.187500,0.005859,0.004883,0.007812,0.011719,0.000000,0.003906,0.177734,0.258789
852928,365.192343,355.460,0.704821,0.199853,-3.471796,0.138242,0.280048,0.043459,0.100586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100586,1.000000
853952,387.545895,377.190,0.852697,0.007739,-3.476706,0.176028,0.523926,0.042952,0.132812,0.000977,0.000000,0.000977,0.000000,0.000000,0.000977,0.131836,0.943359
854976,391.695617,381.510,0.264677,0.108201,-3.494327,0.215426,0.356250,0.042938,0.169922,0.000977,0.007812,0.000000,0.021484,0.000000,0.000977,0.157227,0.000000
