timestamp,mode,cage_version,raw_steering,raw_throttle,safe_steering,safe_throttle,emergency,rules_fired,cycles_since_last_state,oscillation_persistent,osc_rate_c01,osc_rate_c02,osc_rate_c03,ey,epsi,speed,kappa_ahead
1787047656.372982,enforcement,0.6.1,0.17545033991336823,0.7652247846126556,0.17545033991336823,0.7652247846126556,0,,0,0,0.0,0.0,0.0,-0.018920739205183286,-0.07340938457214337,0.00024263049800849496,0.26139613414564195
1787047656.473593,enforcement,0.6.1,0.1762307584285736,0.7645938694477081,0.1762307584285736,0.7645938694477081,0,,0,0,0.0,0.0,0.0,-0.018920739205183286,-0.07340938457214337,0.00024263049800849496,0.26139613414564195
1787047656.780091,enforcement,0.6.1,0.20579195022583008,0.7527854740619659,0.20579195022583008,0.7527854740619659,0,,0,0,0.0,0.0,0.0,0.010253484475619683,0.0010570236468133245,0.006845151172417158,-0.8470731253704479
1787047656.998615,enforcement,0.6.1,0.1940009444952011,0.7494358569383621,0.1940009444952011,0.7494358569383621,0,,0,0,0.0,0.0,0.0,0.03533839391221735,0.0034467429766340267,0.03848874426932286,0.023641866459758586
1787047657.286154,enforcement,0.6.1,0.13645969331264496,0.7633999586105347,0.13645969331264496,0.7633999586105347,0,,0,0,0.0,0.0,0.0,0.015185946871656121,0.031244083418863193,0.05923689672779018,-0.8821938969573102
1787047657.387646,enforcement,0.6.1,0.03303210064768791,0.7807694673538208,0.03303210064768791,0.7807694673538208,0,,0,0,0.0,0.0,0.0,0.015185946871656121,0.031244083418863193,0.05923689672779018,-0.8821938969573102
1787047657.490177,enforcement,0.6.1,0.11447588354349136,0.7493837028741837,0.11447588354349136,0.7493837028741837,0,,0,0,0.0,0.0,0.0,-0.011810924391781233,-0.014743832244001918,0.09728292105048365,0.20750931966821257
1787047657.627116,enforcement,0.6.1,0.14199745655059814,0.7217537313699722,0.14199745655059814,0.7217537313699722,0,,0,0,0.0,0.0,0.0,0.006865538916768263,0.12593391111028898,0.11546545848414379,-0.5378052741215802
1787047657.786493,enforcement,0.6.1,0.1675611138343811,0.754258543252945,0.1675611138343811,0.754258543252945,0,,0,0,0.0,0.0,0.0,-0.009794490072162529,0.045699468307673345,0.12829087373107514,0.24491724355150188
1787047658.002771,enforcement,0.6.1,0.2059374898672104,0.7604540288448334,0.2059374898672104,0.7604540288448334,0,,0,0,0.0,0.0,0.0,-0.004182068348806592,0.0884674682594248,0.14748848142132523,0.23476758907031917
1787047658.254646,enforcement,0.6.1,0.031746748834848404,0.7976586520671844,0.055937489867210394,0.7976586520671844,0,C-06,0,0,0.0,0.0,0.0,-0.007888392111061487,0.11731155581579078,0.15547203398535947,0.30279872243030453
1787047658.418685,enforcement,0.6.1,0.09406255930662155,0.7760956883430481,0.09406255930662155,0.7760956883430481,0,,0,0,0.0,0.0,0.0,-0.007888392111061487,0.11731155581579078,0.14827531000853889,0.30279872243030453
1787047658.496426,enforcement,0.6.1,0.026189930737018585,0.7937130331993103,0.026189930737018585,0.7937130331993103,0,,0,0,0.0,0.0,0.0,7.53236701223764e-06,0.20160455946832584,0.17088976880028175,0.3433479166887658
1787047658.583148,enforcement,0.6.1,0.19779931008815765,0.7937366366386414,0.17618993073701858,0.7937366366386414,0,C-06,0,0,0.0,0.0,0.0,7.53236701223764e-06,0.20160455946832584,0.17088976880028175,0.3433479166887658
1787047658.656399,enforcement,0.6.1,0.24615660309791565,0.7122100591659546,0.24615660309791565,0.7122100591659546,0,,0,0,0.0,0.0,0.0,0.021474013821029467,0.20988779580404057,0.17088976880028175,0.11525001106999472
1787047658.745233,enforcement,0.6.1,0.17867210507392883,0.7291550487279892,0.17867210507392883,0.7291550487279892,0,,0,0,0.0,0.0,0.0,0.016203789222182713,0.22115904244646373,0.18924385947825642,0.28058366257167994
1787047658.893074,enforcement,0.6.1,0.15695706009864807,0.6943202167749405,0.15695706009864807,0.6943202167749405,0,,0,0,0.0,0.0,0.0,0.016203789222182713,0.22115904244646373,0.18924385947825642,0.28058366257167994
1787047659.165689,enforcement,0.6.1,0.11896592378616333,0.7860092520713806,0.11896592378616333,0.7860092520713806,0,,0,0,0.0,0.0,0.0,0.06288651529945065,0.3015522995403745,0.1868797344647353,0.05395763418827071
1787047659.272528,enforcement,0.6.1,0.1397247165441513,0.7792381346225739,0.1397247165441513,0.7792381346225739,0,,0,0,0.0,0.0,0.0,0.029544595206164426,0.3082157322060192,0.188378923391527,0.38208266846978445
1787047659.410703,enforcement,0.6.1,0.14640448987483978,0.7575061023235321,0.14640448987483978,0.7575061023235321,0,,0,0,0.0,0.0,0.0,0.028454088433777044,0.35403219065509495,0.1904049208144964,0.5981367119289573
1787047659.456922,enforcement,0.6.1,0.09072466939687729,0.7569575309753418,0.09072466939687729,0.7569575309753418,0,,0,0,0.0,0.0,0.0,0.041247096270370445,0.36494643424014933,0.1917000252097346,0.5213220774132427
1787047659.613553,enforcement,0.6.1,0.04433625936508179,0.755505383014679,0.04433625936508179,0.755505383014679,0,,0,0,0.0,0.0,0.0,0.027923337188095393,0.1468529841579452,0.19156780922079525,0.0
1787047659.687329,enforcement,0.6.1,0.13526736199855804,0.7190643846988678,0.13526736199855804,0.7190643846988678,0,,0,0,0.0,0.0,0.0,0.08511930140607481,0.2749467495683987,0.19762257610869585,0.13225951850138082
1787047659.780155,enforcement,0.6.1,0.2046133130788803,0.6855281591415405,0.2046133130788803,0.6855281591415405,0,,0,0,0.0,0.0,0.0,0.06780703924221426,0.27906371008151903,0.19283354758289287,0.06490411147419985
1787047659.962810,enforcement,0.6.1,0.1288451999425888,0.7675629258155823,0.1288451999425888,0.7675629258155823,0,,0,0,0.0,0.0,0.0,0.06780703924221426,0.27906371008151903,0.19650118560454838,0.06490411147419985
1787047660.036301,enforcement,0.6.1,0.09324435144662857,0.8114802241325378,0.09324435144662857,0.8114802241325378,0,,0,0,0.0,0.0,0.0,0.06780703924221426,0.27906371008151903,0.19650118560454838,0.06490411147419985
1787047660.208695,enforcement,0.6.1,0.17910946905612946,0.7513187825679779,0.17910946905612946,0.7513187825679779,0,,0,0,0.0,0.0,0.0,-0.10771204756342459,0.18873500434522894,0.19889023453025792,-0.14328174174810743
1787047660.289589,enforcement,0.6.1,0.17241433262825012,0.7266777157783508,0.17241433262825012,0.7266777157783508,0,,0,0,0.0,0.0,0.0,-0.10771204756342459,0.18873500434522894,0.19889023453025792,-0.14328174174810743
1787047660.388283,enforcement,0.6.1,0.1802743524312973,0.7584075331687927,-0.4363061881609112,-0.5,1,C-02;C-05,0,0,0.0,0.0,0.0,0.004688978643797706,0.4363061881609112,0.19289478118484396,0.544411896779141
1787047660.571039,enforcement,0.6.1,0.16244536638259888,0.7722342014312744,-0.4363061881609112,-0.5,1,C-06;C-02;C-05,0,0,0.0,0.0,0.0,-0.1049727175659909,0.10690660263234163,0.1915643637811441,-0.10601416520131555
1787047660.691046,enforcement,0.6.1,0.18371716141700745,0.7829850316047668,-0.4363061881609112,-0.5,1,C-06;C-05,0,0,0.0,0.0,0.0,-0.12321349835457493,0.12487187709001414,0.18250059873012273,0.0029615367743821702
1787047660.814201,enforcement,0.6.1,0.1642494648694992,0.7790091335773468,-0.4363061881609112,-0.5,1,C-06;C-05,0,0,0.0,0.0,0.0,-0.11747055860749657,0.12823802710661206,0.1696870521891094,-0.024968214254941223
1787047660.980245,enforcement,0.6.1,0.13140994310379028,0.7877607941627502,-0.4363061881609112,-0.5,1,C-06;C-05,0,0,0.0,0.0,0.0,-0.10674654784078652,0.11894800721729158,0.14907129150703016,-0.09152956226979124
1787047661.176912,enforcement,0.6.1,0.13799282908439636,0.7664438486099243,-0.4363061881609112,-0.5,1,C-06;C-05,0,0,0.0,0.0,0.0,-0.11829405490037212,0.12188876100908427,0.10637783775269265,-0.040150163998785834
1787047661.357624,enforcement,0.6.1,0.15490639209747314,0.7849761843681335,-0.4363061881609112,-0.5,1,C-06;C-05,0,0,0.0,0.0,0.0,-0.1130969147263464,0.1162966124262325,0.08541419789494537,-0.06789219827910817
1787047661.507461,enforcement,0.6.1,0.19067922234535217,0.7584711313247681,-0.4363061881609112,-0.5,1,C-06;C-05,0,0,0.0,0.0,0.0,-0.11626758270820847,0.11718303965006567,0.06699241178444451,-0.04711004443240417
1787047661.663022,enforcement,0.6.1,0.19711335003376007,0.7548479437828064,-0.4363061881609112,-0.5,1,C-06;C-05,0,0,0.0,0.0,0.0,-0.11417979791285127,0.11706851511058101,0.053785775495908114,-0.04617613600784833
1787047661.799732,enforcement,0.6.1,0.19401447474956512,0.7568365037441254,-0.4363061881609112,-0.5,1,C-06;C-05,0,0,0.0,0.0,0.0,-0.11417979791285127,0.11706851511058101,0.053785775495908114,-0.04617613600784833
1787047661.900024,enforcement,0.6.1,0.19253948330879211,0.7555250227451324,-0.4363061881609112,-0.5,1,C-06;C-05,0,0,0.0,0.0,0.0,-0.11417979791285127,0.11706851511058101,0.044298262829201226,-0.04617613600784833
