timestamp,mode,cage_version,raw_steering,raw_throttle,safe_steering,safe_throttle,emergency,rules_fired,cycles_since_last_state,oscillation_persistent,osc_rate_c01,osc_rate_c02,osc_rate_c03,ey,epsi,speed,kappa_ahead
1786995622.921360,monitoring,0.6.1,0.14476700127124786,0.7142240107059479,0.14476700127124786,0.7142240107059479,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.020339786836481036,0.7153391621856782,3.683003768974131e-05,0.0
1786995623.067086,monitoring,0.6.1,0.1451924741268158,0.7131306231021881,0.1451924741268158,0.7131306231021881,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.04485327646001814,0.7647236143248719,0.00016426254937159,0.0
1786995623.191665,monitoring,0.6.1,0.14745934307575226,0.7160863131284714,0.14745934307575226,0.7160863131284714,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.04485327646001814,0.7647236143248719,0.00016426254937159,0.0
1786995623.293159,monitoring,0.6.1,0.14851593971252441,0.7134313732385635,0.14851593971252441,0.7134313732385635,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.04485327646001814,0.7647236143248719,0.00016426254937159,0.0
1786995623.492002,monitoring,0.6.1,0.15228120982646942,0.7125227451324463,0.15228120982646942,0.7125227451324463,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.04485327646001814,0.7647236143248719,0.00016426254937159,0.0
1786995623.578024,monitoring,0.6.1,0.15139004588127136,0.7122840881347656,0.15139004588127136,0.7122840881347656,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.04485327646001814,0.7647236143248719,0.00016426254937159,0.0
1786995623.668658,monitoring,0.6.1,0.15004494786262512,0.7128961086273193,0.15004494786262512,0.7128961086273193,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.04485327646001814,0.7647236143248719,0.00016426254937159,0.0
1786995623.767057,monitoring,0.6.1,0.15369270741939545,0.7114812135696411,0.15369270741939545,0.7114812135696411,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.04485327646001814,0.7647236143248719,0.00016426254937159,0.0
1786995623.887225,monitoring,0.6.1,0.15528245270252228,0.7124952673912048,0.15528245270252228,0.7124952673912048,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.04485327646001814,0.7647236143248719,0.00016426254937159,0.0
1786995623.959573,monitoring,0.6.1,0.15717042982578278,0.7125799655914307,0.15717042982578278,0.7125799655914307,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.04468380476418325,0.7718854552374984,5.025431194706665e-05,0.0
1786995624.076523,monitoring,0.6.1,0.15808269381523132,0.7129837572574615,0.15808269381523132,0.7129837572574615,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.04468380476418325,0.7718854552374984,5.025431194706665e-05,0.0
