timestep,ep_rew_mean,ep_len_mean,explained_variance
1024,32.446368,48.429,nan
2048,33.389353,48.333,-0.002488
3072,33.921490,49.900,-0.133081
4096,34.735662,50.962,-0.045214
5120,37.993504,54.731,0.152417
6144,40.239066,57.370,0.377364
7168,44.041091,61.710,0.406688
8192,49.238480,67.750,0.468828
9216,56.003682,76.170,0.268740
10240,59.082581,79.700,0.538565
11264,67.447500,88.590,0.160649
12288,76.238688,97.950,0.201108
13312,84.117823,106.570,0.040993
14336,92.765830,115.910,-0.012592
15360,101.580788,125.170,-0.025730
16384,110.246071,134.020,0.014404
17408,118.916771,143.280,0.005217
18432,126.930433,151.120,0.039230
19456,136.256907,159.930,0.031771
20480,145.988890,169.270,0.017360
21504,154.847213,177.970,0.017223
22528,163.906903,186.930,0.016083
23552,172.906077,195.730,0.019258
24576,182.452931,204.870,0.019518
25600,191.854386,214.380,-0.004055
26624,200.046537,222.540,-0.002887
27648,209.302563,231.740,0.002250
28672,218.362324,240.300,-0.001227
29696,227.672560,249.080,0.003281
30720,236.300861,257.050,-0.003673
31744,251.171447,270.800,0.001030
32768,259.616297,278.180,0.007141
33792,269.214765,286.750,0.017863
34816,279.201050,295.910,0.011524
35840,288.740890,304.490,0.010248
36864,298.361372,313.090,0.081295
37888,307.314641,320.900,0.147891
38912,316.550268,328.910,-0.009118
39936,325.544131,336.870,-0.051305
40960,335.878680,346.180,0.035789
41984,344.481370,353.620,0.167285
43008,354.201920,362.290,0.078344
44032,363.452076,370.310,0.149555
45056,373.705121,379.470,0.166383
46080,383.166249,387.650,0.185119
47104,393.352598,396.720,0.364725
48128,402.882983,405.220,0.341415
49152,411.305343,412.190,0.576167
50176,421.000697,420.790,0.336870
51200,431.182348,429.870,0.519678
52224,444.774286,441.640,0.675372
53248,453.810120,449.230,0.671468
54272,463.257694,457.190,0.518601
55296,472.061473,464.650,0.423091
56320,476.580193,466.980,0.407671
57344,486.346705,475.670,0.458251
58368,496.055442,484.340,0.589828
59392,500.558980,487.230,0.813922
60416,502.352172,487.230,-0.037086
61440,510.337712,493.950,0.471299
62464,517.365260,499.510,0.714280
63488,519.758051,500.000,-0.083667
64512,521.561622,500.000,0.135530
65536,523.162579,500.000,0.508290
66560,524.492727,500.000,0.766617
67584,526.214932,500.000,0.863906
68608,527.625323,500.000,0.327850
69632,528.217708,500.000,-0.031503
70656,528.870831,500.000,0.434655
71680,529.663155,500.000,0.788066
72704,529.735734,500.000,0.040007
73728,529.621700,500.000,0.590307
74752,529.424910,500.000,0.000162
75776,529.736078,500.000,0.298890
76800,529.932343,500.000,0.290713
77824,529.699419,500.000,0.318923
78848,529.262498,500.000,0.595226
79872,528.968814,500.000,0.839433
80896,528.553441,500.000,0.472947
81920,527.823480,500.000,0.529409
82944,527.067731,500.000,0.340820
83968,526.189292,500.000,0.634418
84992,525.536405,500.000,0.521543
86016,524.788931,500.000,0.325439
87040,524.065631,500.000,0.746689
88064,523.284749,500.000,0.287170
89088,522.409809,500.000,0.716329
90112,521.610004,500.000,0.177204
91136,520.717159,500.000,0.684924
92160,520.013809,500.000,0.414063
93184,519.141322,500.000,0.705182
94208,518.235939,500.000,0.683175
95232,516.780021,500.000,0.452746
96256,515.826979,500.000,0.740505
97280,514.951403,500.000,0.819364
98304,514.131030,500.000,0.824996
99328,513.190206,500.000,0.300443
100352,512.309119,500.000,0.628515
101376,511.414879,500.000,0.672938
102400,510.437920,500.000,0.505251
103424,509.479927,500.000,0.626968
104448,508.530266,500.000,0.652385
105472,507.542462,500.000,0.496486
106496,506.602272,500.000,0.634588
107520,505.706308,500.000,0.672784
108544,504.830523,500.000,0.639896
109568,503.859977,500.000,0.850909
110592,503.008418,500.000,0.822297
111616,502.101905,500.000,0.631885
112640,501.148929,500.000,0.665663
113664,500.171405,500.000,0.803544
114688,499.198565,500.000,0.756302
115712,498.218508,500.000,0.399469
116736,496.830762,500.000,0.513150
117760,495.765192,500.000,0.552141
118784,494.666966,500.000,0.460232
119808,493.706494,500.000,0.524970
120832,492.752308,500.000,0.614594
121856,492.642986,500.000,0.707530
122880,492.611549,500.000,0.714266
123904,492.566299,500.000,0.678011
124928,492.565073,500.000,0.640867
125952,492.654034,500.000,0.792205
126976,492.740072,500.000,0.591589
128000,492.847736,500.000,0.640073
129024,493.039855,500.000,0.622409
130048,493.152359,500.000,0.599476
131072,493.198008,500.000,0.710338
132096,493.367889,500.000,0.683610
133120,493.421706,500.000,0.688753
134144,493.492485,500.000,0.674578
135168,493.509008,500.000,0.601736
136192,493.516077,500.000,0.699719
137216,493.508171,500.000,0.729065
138240,493.500732,500.000,0.766323
139264,493.587228,500.000,0.656569
140288,493.597696,500.000,0.736153
141312,493.609942,500.000,0.677456
142336,493.644181,500.000,0.717954
143360,493.691178,500.000,0.765146
144384,493.708348,500.000,0.693008
145408,493.750359,500.000,0.760060
146432,493.694458,500.000,0.704503
147456,493.727341,500.000,0.179837
148480,493.924617,500.000,0.483979
149504,494.778858,500.000,0.095083
150528,495.514885,500.000,0.523998
151552,496.386097,500.000,0.677048
152576,497.247794,500.000,0.664071
153600,498.110978,500.000,0.684844
154624,498.922726,500.000,0.726419
155648,499.770343,500.000,0.641828
156672,500.585041,500.000,0.659363
157696,501.456902,500.000,0.642670
158720,502.387027,500.000,0.582865
159744,503.727403,500.000,0.716884
160768,504.560968,500.000,0.654651
161792,505.400822,500.000,0.705795
162816,506.305297,500.000,0.708508
163840,507.228675,500.000,0.753974
164864,508.067119,500.000,0.783051
165888,508.849324,500.000,0.714188
166912,509.799632,500.000,0.704881
167936,510.704931,500.000,0.767238
168960,511.709357,500.000,0.579869
169984,512.598513,500.000,0.625271
171008,513.476861,500.000,0.698012
172032,514.336158,500.000,0.776372
173056,515.293773,500.000,0.718079
174080,516.195659,500.000,0.595131
175104,517.085224,500.000,0.674303
176128,517.898614,500.000,0.480307
177152,518.772779,500.000,0.565181
178176,519.608250,500.000,0.525904
179200,520.500066,500.000,0.771687
180224,521.774648,500.000,0.791036
181248,522.541436,500.000,0.842056
182272,523.338003,500.000,0.665749
183296,524.166124,500.000,0.621576
184320,525.068770,500.000,0.707995
185344,525.882460,500.000,0.652587
186368,526.682547,500.000,0.821666
187392,527.536926,500.000,0.888415
188416,528.395454,500.000,0.833439
189440,529.231080,500.000,0.669181
190464,530.000954,500.000,0.655497
191488,530.749363,500.000,0.766720
192512,531.544895,500.000,0.832583
193536,532.204317,500.000,0.784189
194560,532.900779,500.000,0.800658
195584,533.628945,500.000,0.823236
196608,534.400887,500.000,0.813338
197632,535.151522,500.000,0.853113
198656,535.640480,500.000,0.840018
199680,535.509266,500.000,0.846252
200704,535.537997,500.000,0.817178
201728,535.372355,500.000,0.774188
202752,535.288212,500.000,0.868219
203776,535.221864,500.000,0.836522
204800,535.133094,500.000,0.846793
205824,535.038530,500.000,0.786059
206848,534.971223,500.000,0.779949
