timestamp,mode,cage_version,raw_steering,raw_throttle,safe_steering,safe_throttle,emergency,rules_fired,cycles_since_last_state,oscillation_persistent,osc_rate_c01,osc_rate_c02,osc_rate_c03
0.050000,,0.5.0,-0.0,0.5,-0.0,0.5,0,,0,0,0.0,0.0,0.0
0.100000,,0.5.0,-6.5620559034408316e-21,0.5,-6.5620559034408316e-21,0.5,0,,0,0,0.0,0.0,0.0
0.150000,,0.5.0,-1.1284705206504482e-21,0.5,-1.1284705206504482e-21,0.5,0,,0,0,0.0,0.0,0.0
0.200000,,0.5.0,-1.1655944896711009e-21,0.5,-1.1655944896711009e-21,0.5,0,,0,0,0.0,0.0,0.0
0.250000,,0.5.0,-1.0820567432858487e-16,0.5,-1.0820567432858487e-16,0.5,0,,0,0,0.0,0.0,0.0
0.300000,,0.5.0,6.414121972728369e-17,0.5,6.414121972728369e-17,0.5,0,,0,0,0.0,0.0,0.0
0.350000,,0.5.0,9.532154057496235e-19,0.5,9.532154057496235e-19,0.5,0,,0,0,0.0,0.0,0.0
0.400000,,0.5.0,-6.1886831410284395e-18,0.5,-6.1886831410284395e-18,0.5,0,,0,0,0.0,0.0,0.0
0.450000,,0.5.0,1.3539805507310102e-19,0.5,1.3539805507310102e-19,0.5,0,,0,0,0.0,0.0,0.0
0.500000,,0.5.0,-9.269784975801694e-16,0.5,-9.269784975801694e-16,0.5,0,,0,0,0.0,0.0,0.0
0.550000,,0.5.0,6.1219496784424266e-15,0.5,6.1219496784424266e-15,0.5,0,,0,0,0.0,0.0,0.0
0.600000,,0.5.0,1.1524761713774113e-15,0.5,1.1524761713774113e-15,0.5,0,,0,0,0.0,0.0,0.0
0.650000,,0.5.0,1.3617241105471697e-15,0.5,1.3617241105471697e-15,0.5,0,,0,0,0.0,0.0,0.0
0.700000,,0.5.0,4.99130747396843e-14,0.5,4.99130747396843e-14,0.5,0,,0,0,0.0,0.0,0.0
0.750000,,0.5.0,-4.5403251346029484e-14,0.5,-4.5403251346029484e-14,0.5,0,,0,0,0.0,0.0,0.0
0.800000,,0.5.0,6.316818710225532e-14,0.5,6.316818710225532e-14,0.5,0,,0,0,0.0,0.0,0.0
0.850000,,0.5.0,1.5098679076750996e-14,0.5,1.5098679076750996e-14,0.5,0,,0,0,0.0,0.0,0.0
0.900000,,0.5.0,1.5130111463982668e-14,0.5,1.5130111463982668e-14,0.5,0,,0,0,0.0,0.0,0.0
0.950000,,0.5.0,-6.061211018677802e-14,0.5,-6.061211018677802e-14,0.5,0,,0,0,0.0,0.0,0.0
1.000000,,0.5.0,-5.111694371570595e-16,0.5,-5.111694371570595e-16,0.5,0,,0,0,0.0,0.0,0.0
1.050000,,0.5.0,1.9469312424716333e-16,0.5,1.9469312424716333e-16,0.5,0,,0,0,0.0,0.0,0.0
1.100000,,0.5.0,9.801197619700649e-14,0.5,9.801197619700649e-14,0.5,0,,0,0,0.0,0.0,0.0
1.150000,,0.5.0,2.6784028239321956e-14,0.5,2.6784028239321956e-14,0.5,0,,0,0,0.0,0.0,0.0
1.200000,,0.5.0,2.3520765662375552e-14,0.5,2.3520765662375552e-14,0.5,0,,0,0,0.0,0.0,0.0
