timestep,ep_rew_mean,ep_len_mean,explained_variance
1024,-8.199260,47.600,nan
2048,-7.626784,48.738,0.005506
3072,-7.634195,48.762,-0.015959
4096,-7.469784,47.953,0.053039
5120,-7.431894,47.970,-0.006046
