scenario,mode,arm,controller,seed,rep,verdict,emergency,error
SC-PERT-03,enforcement,released,rl,2024,0,True,False,
SC-PERT-03,enforcement,released,rl,2024,1,True,False,
SC-PERT-03,enforcement,released,rl,2024,2,True,False,
SC-PERT-03,enforcement,released,rl,2024,3,True,False,
SC-PERT-03,enforcement,released,rl,2024,4,True,False,
SC-PERT-03,enforcement,released,rl,2024,5,False,True,
SC-PERT-03,enforcement,released,rl,2024,6,True,False,
SC-PERT-03,enforcement,released,rl,2024,7,True,False,
SC-PERT-03,enforcement,released,rl,2024,8,True,False,
SC-PERT-03,enforcement,released,rl,2024,9,True,False,
SC-PERT-03,enforcement,released,rl,2024,10,True,False,
SC-PERT-03,enforcement,released,rl,2024,11,True,False,
SC-PERT-03,enforcement,released,rl,2024,12,True,False,
SC-PERT-03,enforcement,released,rl,2024,13,False,True,
SC-PERT-03,enforcement,released,rl,2024,14,True,False,
SC-PERT-03,enforcement,released,rl,2024,15,True,False,
SC-PERT-03,enforcement,released,rl,2024,16,True,False,
SC-PERT-03,enforcement,released,rl,2024,17,True,False,
SC-PERT-03,enforcement,released,rl,2024,18,True,False,
SC-PERT-03,enforcement,released,rl,2024,19,True,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,0,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,1,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,2,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,3,False,True,
SC-PERT-03,enforcement,stall_variant,rl,2024,4,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,5,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,6,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,7,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,8,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,9,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,10,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,11,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,12,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,13,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,14,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,15,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,16,False,True,
SC-PERT-03,enforcement,stall_variant,rl,2024,17,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,18,False,False,
SC-PERT-03,enforcement,stall_variant,rl,2024,19,False,False,
SC-PERT-03,monitoring,released,rl,2024,0,True,False,
SC-PERT-03,monitoring,released,rl,2024,1,True,False,
SC-PERT-03,monitoring,released,rl,2024,2,True,False,
SC-PERT-03,monitoring,released,rl,2024,3,True,False,
SC-PERT-03,monitoring,released,rl,2024,4,True,False,
SC-PERT-03,monitoring,released,rl,2024,5,True,False,
SC-PERT-03,monitoring,released,rl,2024,6,True,False,
SC-PERT-03,monitoring,released,rl,2024,7,True,False,
SC-PERT-03,monitoring,released,rl,2024,8,True,False,
SC-PERT-03,monitoring,released,rl,2024,9,True,False,
SC-PERT-03,monitoring,released,rl,2024,10,True,False,
SC-PERT-03,monitoring,released,rl,2024,11,True,False,
SC-PERT-03,monitoring,released,rl,2024,12,True,False,
SC-PERT-03,monitoring,released,rl,2024,13,True,False,
SC-PERT-03,monitoring,released,rl,2024,14,True,False,
SC-PERT-03,monitoring,released,rl,2024,15,True,False,
SC-PERT-03,monitoring,released,rl,2024,16,True,False,
SC-PERT-03,monitoring,released,rl,2024,17,True,False,
SC-PERT-03,monitoring,released,rl,2024,18,True,False,
SC-PERT-03,monitoring,released,rl,2024,19,True,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,0,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,1,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,2,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,3,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,4,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,5,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,6,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,7,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,8,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,9,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,10,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,11,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,12,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,13,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,14,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,15,False,True,
SC-PERT-03,monitoring,stall_variant,rl,2024,16,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,17,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,18,False,False,
SC-PERT-03,monitoring,stall_variant,rl,2024,19,False,False,
