episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,26,-2.362076,-1.617624,0.044935,0.056643,0.051215,0.475006,0.173194,0.696820,0.143776,-0.553044,0.787408,0.787408,0.000000,C-06,0,0,0,1,1,0,0.071702,-0.036629,0.5625,0.0406,0.2688,3,ok
0,27,-2.343679,-1.616841,0.066774,0.057321,0.055459,0.494393,0.151044,0.359688,0.293776,-0.065912,0.638214,0.687408,0.049194,C-06,0,0,0,1,1,0,0.072752,-0.027068,0.5208,0.0092,0.2691,2,ok
0,28,-2.323502,-1.616028,0.100009,0.057862,0.088694,0.514579,0.172526,0.419883,0.419883,0.000000,0.897487,0.787408,-0.110078,C-06,0,0,0,1,1,0,0.074922,-0.018460,0.5208,-0.0010,0.2690,3,ok
0,29,-2.300773,-1.614697,0.121830,0.058888,0.110514,0.535804,0.194283,-0.546377,0.269883,0.816259,0.955365,0.887408,-0.067957,C-06,0,0,0,1,1,0,0.080023,0.020077,0.5625,-0.0446,0.2685,3,ok
0,30,-2.283430,-1.612852,0.130203,0.060200,0.103756,0.555624,0.172797,-0.530830,0.119883,0.650712,0.739839,0.787408,0.047570,C-06,0,0,0,1,1,0,0.079133,0.049076,0.6042,0.0311,0.2692,3,ok
0,31,-2.262750,-1.610180,0.128170,0.062272,0.101724,0.576374,0.173830,-0.320108,-0.030117,0.289991,0.790065,0.790065,0.000000,C-06,0,0,0,1,1,0,0.084326,0.050269,0.5625,-0.0186,0.2720,3,ok
0,32,-2.243854,-1.607969,0.117032,0.063840,0.078046,0.596080,0.195704,-0.611988,-0.180117,0.431871,0.913713,0.890065,-0.023648,C-06,0,0,0,1,1,0,0.085263,0.048750,0.5625,-0.0190,0.2706,3,ok
0,33,-2.222959,-1.605531,0.110137,0.065424,0.071151,0.617057,0.173930,-0.085122,-0.085122,0.000000,0.782873,0.790065,0.007192,C-06,0,0,0,1,1,0,0.083543,0.037718,0.5417,0.0022,0.2663,3,ok
0,34,-2.202056,-1.603230,0.114599,0.066872,0.075614,0.638036,0.175298,0.086656,0.064878,-0.021777,0.797258,0.797258,0.000000,C-06,0,0,0,1,1,0,0.086757,0.028377,0.5208,-0.0723,0.2730,3,ok
0,35,-2.180868,-1.600930,0.130526,0.068057,0.080814,0.660128,0.177706,0.396644,0.214878,-0.181765,0.809848,0.809848,0.000000,C-06,0,0,0,1,1,0,0.084464,0.035152,0.5417,-0.0366,0.2635,3,ok
0,36,-2.165293,-1.598925,0.134976,0.069236,0.085264,0.675787,0.156053,-0.673093,0.064878,0.737971,0.618634,0.709848,0.091214,C-06,0,0,0,1,1,0,0.089243,0.059222,0.5208,-0.1053,0.2646,3,ok
0,37,-2.144632,-1.596426,0.128830,0.070600,0.070674,0.696974,0.177902,-0.572754,-0.085122,0.487632,0.815936,0.809848,-0.006088,C-06,0,0,0,1,1,0,0.088549,0.060803,0.4792,-0.0606,0.2604,3,ok
0,38,-2.121345,-1.593963,0.111102,0.071689,0.052946,0.720365,0.199963,-0.822728,-0.235122,0.587606,0.939422,0.909848,-0.029574,C-06,0,0,0,1,1,0,0.097190,0.057143,0.5208,-0.1973,0.2738,3,ok
0,39,-2.096261,-1.591526,0.080950,0.072607,0.015500,0.746146,0.211544,-0.859505,-0.385122,0.474383,0.960385,0.960385,0.000000,C-06,0,0,0,1,1,0,0.091173,0.039619,0.5833,-0.1405,0.2705,3,ok
0,40,-2.073430,-1.588951,0.061432,0.073646,-0.004018,0.769098,0.190093,0.430702,-0.235122,-0.665824,0.661244,0.860385,0.199141,C-06,0,0,0,1,1,0,0.089403,0.019252,0.6458,-0.1714,0.2738,3,ok
0,41,-2.053252,-1.587378,0.053935,0.073863,-0.011515,0.789336,0.167504,0.508338,-0.085122,-0.593460,0.688411,0.760385,0.071974,C-06,0,0,0,1,1,0,0.088080,-0.003197,0.6458,-0.1892,0.2747,3,ok
0,42,-2.035702,-1.586331,0.058538,0.073670,-0.011902,0.807217,0.145291,0.856603,0.064878,-0.791725,0.573090,0.660385,0.087295,C-06,0,0,0,1,1,0,0.086123,-0.008734,0.6458,-0.2224,0.2710,2,ok
0,43,-2.019528,-1.585448,0.072115,0.073400,0.001675,0.823413,0.167097,0.207909,0.207909,0.000000,0.837075,0.760385,-0.076690,C-06,0,0,0,1,1,0,0.086724,-0.006306,0.6458,-0.2448,0.2688,3,ok
0,44,-1.997387,-1.584064,0.077108,0.073187,0.002842,0.846040,0.189125,0.024652,0.057909,0.033257,0.903506,0.860385,-0.043121,C-06,0,0,0,1,1,0,0.088904,0.004333,0.5833,-0.2695,0.2734,3,ok
0,45,-1.980543,-1.582829,0.073514,0.073118,-0.000751,0.862929,0.167284,-0.063254,-0.063254,0.000000,0.731615,0.760385,0.028770,C-06,0,0,0,1,1,0,0.088843,0.015923,0.6042,-0.2721,0.2711,3,ok
0,46,-1.962985,-1.581464,0.079614,0.073125,0.005349,0.880540,0.145271,0.697418,0.086746,-0.610672,0.413847,0.660385,0.246539,C-06,0,0,0,1,1,0,0.087416,0.013957,0.5833,-0.2682,0.2661,3,ok
0,47,-1.948031,-1.580277,0.096788,0.073154,0.022523,0.893121,0.123112,0.752110,0.236746,-0.515364,0.481917,0.560385,0.078468,C-06,0,0,0,1,1,0,0.089419,0.021257,0.5208,-0.2908,0.2621,3,ok
0,48,-1.935772,-1.579187,0.104182,0.073286,0.027673,0.907893,0.101145,-0.374126,0.086746,0.460872,0.088034,0.460385,0.372352,C-06,0,0,0,1,1,0,0.087342,0.041943,0.5625,-0.2502,0.2580,3,ok
0,49,-1.927741,-1.578389,0.100696,0.073458,0.024187,0.915962,0.079275,-0.220304,-0.063254,0.157050,0.048726,0.360385,0.311660,C-06,0,0,0,1,1,0,0.088979,0.051156,0.5417,-0.2629,0.2598,3,ok
0,50,-1.916178,-1.577473,0.084298,0.073471,0.007789,0.927560,0.101201,-0.827091,-0.213254,0.613837,0.847974,0.460385,-0.387589,C-06,0,0,0,1,1,0,0.090225,0.046738,0.5833,-0.2726,0.2617,3,ok
0,51,-1.902006,-1.576597,0.055706,0.073243,-0.020803,0.941758,0.123296,-0.410947,-0.363254,0.047693,0.762902,0.560385,-0.202517,C-06,0,0,0,1,1,0,0.086959,0.045830,0.6042,-0.2530,0.2596,3,ok
0,52,-1.885102,-1.575761,0.037817,0.072759,-0.038978,0.958687,0.145340,0.237198,-0.213254,-0.450452,0.756217,0.660385,-0.095832,C-06,0,0,0,1,1,0,0.084243,0.019258,0.6458,-0.2518,0.2588,3,ok
0,53,-1.866962,-1.574944,0.032142,0.072160,-0.044653,0.976836,0.151860,0.389909,-0.063254,-0.453163,0.689944,0.689944,0.000000,C-06,0,0,0,1,1,0,0.078527,-0.002417,0.6667,-0.2220,0.2587,3,ok
0,54,-1.846656,-1.574160,0.014985,0.071359,-0.060944,0.997164,0.173886,-0.432642,-0.213254,0.219388,0.873541,0.789944,-0.083597,C-06,0,0,0,1,1,0,0.077499,-0.008889,0.6250,-0.2395,0.2604,3,ok
0,55,-1.828281,-1.573736,0.009024,0.070343,-0.066904,1.015515,0.151817,0.288783,-0.063254,-0.352037,0.645818,0.689944,0.044126,C-06,0,0,0,1,1,0,0.071224,-0.012955,0.6667,-0.1587,0.2640,3,ok
0,56,-1.813783,-1.573601,0.014463,0.069345,-0.061466,1.029979,0.144484,0.462712,0.086746,-0.375966,0.656786,0.656786,0.000000,C-06,0,0,0,1,1,0,0.068164,-0.017048,0.6250,-0.1188,0.2648,3,ok
0,57,-1.794374,-1.573416,0.033474,0.068044,-0.039471,1.048955,0.166412,0.366053,0.236746,-0.129307,0.889119,0.756786,-0.132333,C-06,0,0,0,1,1,0,0.067491,-0.007832,0.6458,-0.1164,0.2648,3,ok
0,58,-1.776050,-1.573198,0.042197,0.066932,-0.030748,1.067247,0.188351,0.122909,0.122909,0.000000,0.911784,0.856786,-0.054998,C-06,0,0,0,1,1,0,0.067244,0.011340,0.6250,-0.0974,0.2629,3,ok
0,59,-1.755795,-1.572612,0.062383,0.066048,-0.010562,1.087491,0.166255,0.393821,0.272909,-0.120912,0.743741,0.756786,0.013045,C-06,0,0,0,1,1,0,0.067557,0.026250,0.5833,-0.0719,0.2667,3,ok
0,60,-1.734172,-1.571821,0.074678,0.065263,0.005533,1.109133,0.182809,0.148295,0.148295,0.000000,0.832487,0.832487,0.000000,,0,0,0,1,1,0,0.067370,0.066293,0.5625,-0.0278,0.2648,3,ok
0,61,-1.710212,-1.570051,0.074945,0.065284,0.005801,1.133158,0.204399,-0.474340,-0.001705,0.472635,0.929105,0.929105,0.000000,C-06,0,0,0,1,1,0,0.071447,0.066217,0.6042,-0.0586,0.2654,3,ok
0,62,-1.691832,-1.568739,0.065868,0.065343,0.002557,1.150934,0.182462,-0.339598,-0.151705,0.187893,0.023223,0.829105,0.805882,C-06,0,0,0,1,1,0,0.071057,0.082263,0.6250,-0.0019,0.2643,3,ok
0,63,-1.672512,-1.567466,0.065279,0.065399,0.001969,1.170296,0.160405,0.046037,-0.001705,-0.047742,0.316173,0.729105,0.412932,C-06,0,0,0,1,1,0,0.072621,0.072445,0.6250,-0.0161,0.2676,3,ok
0,64,-1.655738,-1.566305,0.076042,0.065503,0.012732,1.187110,0.138345,0.634825,0.148295,-0.486530,0.476660,0.629105,0.152445,C-06,0,0,0,1,1,0,0.074498,0.070040,0.6042,-0.0470,0.2672,3,ok
0,65,-1.638342,-1.564982,0.076612,0.065780,0.019974,1.204296,0.146309,-0.134277,-0.001705,0.132572,0.665057,0.665057,0.000000,C-06,0,0,0,1,1,0,0.074674,0.076887,0.6458,-0.0263,0.2643,3,ok
0,66,-1.618818,-1.563614,0.087596,0.065995,0.030958,1.223866,0.168068,0.193977,0.148295,-0.045682,0.778752,0.765057,-0.013695,C-06,0,0,0,1,1,0,0.078931,0.073262,0.6042,-0.0486,0.2672,3,ok
0,67,-1.599605,-1.561934,0.087978,0.066539,0.031340,1.240723,0.160393,-0.079236,-0.001705,0.077531,0.729050,0.729050,0.000000,C-06,0,0,0,1,1,0,0.080289,0.086627,0.5833,-0.0481,0.2652,3,ok
0,68,-1.582911,-1.560408,0.098816,0.067264,0.052212,1.259239,0.138305,0.227687,0.148295,-0.079392,0.391847,0.629050,0.237203,C-06,0,0,0,1,1,0,0.084006,0.083950,0.5417,-0.0494,0.2682,3,ok
0,69,-1.567526,-1.558886,0.099301,0.068028,0.052697,1.274680,0.160385,-0.359124,-0.001705,0.357418,0.812927,0.729050,-0.083877,C-06,0,0,0,1,1,0,0.087187,0.092231,0.5000,-0.0662,0.2698,3,ok
0,70,-1.546319,-1.557016,0.088026,0.068914,0.051538,1.295271,0.182337,-0.870105,-0.151705,0.718400,0.968054,0.829050,-0.139004,C-06,0,0,0,1,1,0,0.088414,0.110406,0.5208,-0.0600,0.2682,3,ok
0,71,-1.526527,-1.555489,0.068602,0.069663,0.032114,1.315107,0.204459,-0.839497,-0.301705,0.537791,0.971527,0.929050,-0.042477,C-06,0,0,0,1,1,0,0.088582,0.101552,0.5000,-0.0462,0.2652,3,ok
0,72,-1.502087,-1.553666,0.032135,0.070526,-0.004353,1.338019,0.204357,-0.804228,-0.451705,0.352522,0.926859,0.926859,0.000000,C-06,0,0,0,1,1,0,0.089810,0.064420,0.5625,-0.0681,0.2707,3,ok
0,73,-1.477928,-1.551839,-0.017632,0.071821,-0.042321,1.362630,0.201653,-0.886739,-0.601705,0.285033,0.914096,0.914096,0.000000,C-06,0,0,0,1,1,0,0.086078,0.069214,0.6250,-0.0379,0.2650,3,ok
