stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1788182897.070,bad_width,-0.02372,-0.07589,0.29425,3,0.396,ok
1788182897.120,bad_width,-0.02206,-0.06949,0.29982,3,0.417,ok
1788182897.270,bad_width,-0.02320,-0.05248,0.29614,3,0.396,ok
1788182897.670,bad_width,-0.02428,-0.07161,0.29322,3,0.438,ok
1788182897.720,bad_width,0.03533,-0.07459,0.17603,3,0.396,ok
1788182897.820,bad_width,-0.02354,-0.06587,0.29418,2,0.417,ok
1788182897.870,bad_width,-0.02253,-0.07673,0.29297,2,0.438,ok
1788182897.920,bad_width,-0.02355,-0.07459,0.29397,3,0.375,ok
1788182898.020,unpaired,-0.00649,-0.04857,0.26178,3,0.271,single_line
1788182898.220,bad_width,-0.02372,-0.07375,0.29429,2,0.396,ok
1788182898.620,bad_width,0.03108,-0.07589,0.18515,3,0.417,ok
1788182898.720,bad_width,-0.02476,-0.06949,0.29453,3,0.417,ok
1788182898.971,bad_width,-0.02307,-0.06949,0.29171,3,0.417,ok
1788182899.271,bad_width,0.03825,-0.06949,0.17366,2,0.417,ok
1788182899.320,bad_width,-0.01927,-0.06949,0.30431,2,0.375,ok
1788182899.570,bad_width,-0.02355,-0.06949,0.29353,2,0.417,ok
1788182899.670,bad_width,-0.02410,-0.06949,0.29244,3,0.417,ok
1788182899.770,bad_width,-0.02273,-0.06949,0.29346,3,0.417,ok
1788182899.820,bad_width,0.03475,-0.06949,0.17721,3,0.417,ok
1788182900.120,bad_width,-0.02528,-0.06949,0.29511,2,0.438,ok
1788182900.271,bad_width,-0.02379,-0.06307,0.29319,3,0.417,ok
1788182900.370,bad_width,0.03371,-0.05248,0.17575,3,0.438,ok
1788182900.620,bad_width,-0.02339,-0.06949,0.29044,2,0.438,ok
1788182900.920,bad_width,0.03866,-0.06949,0.17097,3,0.417,ok
1788182901.270,bad_width,-0.02268,-0.06949,0.29528,3,0.375,ok
1788182901.420,bad_width,-0.02378,-0.06949,0.29532,3,0.396,ok
1788182901.570,bad_width,-0.02144,-0.06949,0.29495,3,0.438,ok
1788182901.620,bad_width,0.02995,-0.06949,0.18583,2,0.417,ok
1788182901.770,bad_width,-0.02449,-0.06949,0.29390,3,0.417,ok
1788182902.370,bad_width,0.03516,-0.06949,0.17606,2,0.417,ok
1788182902.420,bad_width,-0.01843,-0.06651,0.30724,3,0.375,ok
1788182902.620,bad_width,0.02870,-0.06949,0.18741,3,0.438,ok
1788182902.670,bad_width,-0.02180,-0.06949,0.29703,3,0.396,ok
1788182902.770,bad_width,0.03177,-0.06949,0.18300,3,0.396,ok
1788182903.120,bad_width,-0.02404,-0.06949,0.29480,3,0.417,ok
1788182903.370,bad_width,0.03150,-0.06949,0.18464,3,0.417,ok
1788182903.470,bad_width,-0.02561,-0.06651,0.29290,3,0.438,ok
1788182903.520,bad_width,-0.02401,-0.06949,0.29262,2,0.438,ok
1788182903.920,bad_width,-0.02393,-0.05248,0.29533,3,0.417,ok
1788182904.070,bad_width,0.03318,-0.05873,0.18429,3,0.396,ok
1788182904.570,bad_width,-0.02882,-0.06949,0.31901,3,0.375,ok
1788182904.670,bad_width,0.03372,-0.06949,0.17770,2,0.438,ok
1788182905.120,bad_width,-0.02312,-0.06949,0.29268,3,0.417,ok
1788182905.320,bad_width,-0.02312,-0.06949,0.29268,2,0.417,ok
1788182905.720,bad_width,-0.02252,-0.06651,0.29145,3,0.396,ok
1788182905.870,bad_width,0.02918,-0.06949,0.18671,3,0.438,ok
1788182905.920,bad_width,-0.02249,-0.06651,0.29230,3,0.396,ok
1788182906.070,bad_width,-0.02231,-0.06949,0.29061,3,0.438,ok
1788182906.270,bad_width,0.03450,-0.06949,0.17400,2,0.417,ok
1788182906.320,bad_width,0.03147,-0.06949,0.18375,3,0.417,ok
1788182906.470,bad_width,-0.02401,-0.06949,0.29262,2,0.438,ok
1788182906.620,bad_width,-0.02944,-0.06949,0.30442,2,0.375,ok
1788182906.970,bad_width,-0.02462,-0.06651,0.29135,2,0.417,ok
1788182907.020,bad_width,0.03288,-0.06651,0.17998,3,0.417,ok
1788182907.170,bad_width,-0.02377,-0.06949,0.29311,3,0.396,ok
1788182907.371,bad_width,0.03177,-0.06949,0.18300,2,0.396,ok
1788182907.520,bad_width,0.03262,-0.06949,0.18830,3,0.396,ok
1788182907.720,bad_width,0.03054,-0.06949,0.18263,2,0.438,ok
1788182907.770,bad_width,-0.02986,-0.06651,0.30788,2,0.375,ok
1788182907.870,bad_width,-0.02418,-0.06651,0.29235,3,0.438,ok
1788182908.120,bad_width,0.03195,-0.06949,0.18170,2,0.396,ok
