step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
61,3.0500,0.6066,-0.0104,-0.0453,8.6232,-0.0104,-0.0453,0.1906,0.1906,
62,3.1000,0.6166,-0.0108,-0.0416,8.6232,-0.0108,-0.0416,0.1883,0.1883,
63,3.1500,0.6266,-0.0112,-0.0380,8.6232,-0.0112,-0.0380,0.1857,0.1857,
64,3.2000,0.6366,-0.0115,-0.0343,8.6232,-0.0115,-0.0343,0.1828,0.1828,
65,3.2500,0.6466,-0.0119,-0.0308,8.6232,-0.0119,-0.0308,0.1797,0.1797,
66,3.3000,0.6566,-0.0122,-0.0273,8.6232,-0.0122,-0.0273,0.1763,0.1763,
67,3.3500,0.6666,-0.0124,-0.0238,8.6232,-0.0124,-0.0238,0.1727,0.1727,
68,3.4000,0.6766,-0.0126,-0.0205,8.6232,-0.0126,-0.0205,0.1688,0.1688,
69,3.4500,0.6866,-0.0128,-0.0172,8.6232,-0.0128,-0.0172,0.1648,0.1648,
70,3.5000,0.6966,-0.0130,-0.0140,8.6232,-0.0130,-0.0140,0.1605,0.1605,
71,3.5500,0.7066,-0.0131,-0.0109,8.7232,-0.0131,-0.0109,0.1561,0.1561,
72,3.6000,0.7166,-0.0132,-0.0078,8.7232,-0.0132,-0.0078,0.1515,0.1515,
73,3.6500,0.7266,-0.0133,-0.0049,8.7232,-0.0133,-0.0049,0.1467,0.1467,
74,3.7000,0.7366,-0.0133,-0.0020,8.7232,-0.0133,-0.0020,0.1419,0.1419,
75,3.7500,0.7466,-0.0133,0.0007,8.7232,-0.0133,0.0007,0.1369,0.1369,
76,3.8000,0.7566,-0.0133,0.0034,8.7232,-0.0133,0.0034,0.1318,0.1318,
77,3.8500,0.7666,-0.0132,0.0060,8.7232,-0.0132,0.0060,0.1266,0.1266,
78,3.9000,0.7766,-0.0132,0.0084,8.7232,-0.0132,0.0084,0.1213,0.1213,
79,3.9500,0.7866,-0.0131,0.0108,8.7232,-0.0131,0.0108,0.1160,0.1160,
80,4.0000,0.7966,-0.0130,0.0130,8.7232,-0.0130,0.0130,0.1106,0.1106,
81,4.0500,0.8066,-0.0128,0.0152,8.8232,-0.0128,0.0152,0.1052,0.1052,
82,4.1000,0.8166,-0.0126,0.0172,8.8232,-0.0126,0.0172,0.0998,0.0998,
83,4.1500,0.8266,-0.0125,0.0192,8.8232,-0.0125,0.0192,0.0944,0.0944,
84,4.2000,0.8366,-0.0123,0.0210,8.8232,-0.0123,0.0210,0.0889,0.0889,
85,4.2500,0.8466,-0.0120,0.0228,8.8232,-0.0120,0.0228,0.0835,0.0835,
86,4.3000,0.8566,-0.0118,0.0244,8.8232,-0.0118,0.0244,0.0780,0.0780,
87,4.3500,0.8666,-0.0116,0.0259,8.8232,-0.0116,0.0259,0.0727,0.0727,
88,4.4000,0.8766,-0.0113,0.0273,8.8232,-0.0113,0.0273,0.0673,0.0673,
89,4.4500,0.8866,-0.0110,0.0286,8.8232,-0.0110,0.0286,0.0620,0.0620,
90,4.5000,0.8966,-0.0107,0.0298,8.8232,-0.0107,0.0298,0.0568,0.0568,
91,4.5500,0.9066,-0.0104,0.0309,8.9232,-0.0104,0.0309,0.0516,0.0516,
92,4.6000,0.9166,-0.0101,0.0319,8.9232,-0.0101,0.0319,0.0465,0.0465,
93,4.6500,0.9266,-0.0098,0.0328,8.9232,-0.0098,0.0328,0.0415,0.0415,
94,4.7000,0.9365,-0.0094,0.0336,8.9232,-0.0094,0.0336,0.0365,0.0365,
95,4.7500,0.9465,-0.0091,0.0343,8.9232,-0.0091,0.0343,0.0317,0.0317,
96,4.8000,0.9565,-0.0088,0.0350,8.9232,-0.0088,0.0350,0.0270,0.0270,
97,4.8500,0.9665,-0.0084,0.0355,8.9232,-0.0084,0.0355,0.0224,0.0224,
98,4.9000,0.9765,-0.0081,0.0359,8.9232,-0.0081,0.0359,0.0178,0.0178,
99,4.9500,0.9865,-0.0077,0.0363,8.9232,-0.0077,0.0363,0.0135,0.0135,
100,5.0000,0.9965,-0.0073,0.0365,8.9232,-0.0073,0.0365,0.0092,0.0092,
101,5.0500,1.0065,-0.0070,0.0367,9.0232,-0.0070,0.0367,0.0051,0.0051,
102,5.1000,1.0165,-0.0066,0.0368,9.0232,-0.0066,0.0368,0.0011,0.0011,
103,5.1500,1.0265,-0.0062,0.0368,9.0232,-0.0062,0.0368,-0.0028,-0.0028,
104,5.2000,1.0365,-0.0059,0.0368,9.0232,-0.0059,0.0368,-0.0065,-0.0065,
105,5.2500,1.0465,-0.0055,0.0367,9.0232,-0.0055,0.0367,-0.0101,-0.0101,
106,5.3000,1.0565,-0.0051,0.0365,9.0232,-0.0051,0.0365,-0.0135,-0.0135,
107,5.3500,1.0665,-0.0048,0.0362,9.0232,-0.0048,0.0362,-0.0168,-0.0168,
108,5.4000,1.0765,-0.0044,0.0359,9.0232,-0.0044,0.0359,-0.0200,-0.0200,
109,5.4500,1.0865,-0.0040,0.0355,9.0232,-0.0040,0.0355,-0.0230,-0.0230,
110,5.5000,1.0964,-0.0037,0.0350,9.0232,-0.0037,0.0350,-0.0258,-0.0258,
