timestep,raw_steer
10,-0.302104
20,0.935403
30,-0.864634
40,-0.950127
50,-0.146923
60,-1.000000
70,0.540549
80,0.194579
90,-0.163909
100,0.111098
110,-0.097528
120,1.000000
130,1.000000
140,-1.000000
150,-1.000000
160,0.191855
170,0.183716
180,0.739278
190,0.031630
200,-0.716294
210,1.000000
220,-0.457521
230,0.120292
240,-0.444555
250,1.000000
260,1.000000
270,0.222699
280,-1.000000
290,0.603816
300,-0.209716
310,-0.005709
320,0.444488
330,1.000000
340,-0.731399
350,-1.000000
360,0.154041
370,-0.012664
380,-1.000000
390,-0.107012
400,0.961356
410,0.167312
420,1.000000
430,1.000000
440,0.235269
450,0.049494
460,-0.231873
470,1.000000
480,-0.611084
490,-0.113383
500,1.000000
510,1.000000
520,-1.000000
530,0.244929
540,-1.000000
550,1.000000
560,1.000000
570,-0.488159
580,-0.043507
590,1.000000
600,0.935591
610,0.662486
620,1.000000
630,-0.802700
640,-0.135329
650,-0.932547
660,-0.463976
670,-0.114016
680,-0.026365
690,-0.720249
700,1.000000
710,-1.000000
720,-0.530218
730,-1.000000
740,0.346496
750,-1.000000
760,-1.000000
770,0.222777
780,0.886192
790,0.990667
800,-1.000000
810,0.722992
820,0.298411
830,-0.226239
840,0.362107
850,0.691061
860,0.109018
870,1.000000
880,-1.000000
890,1.000000
900,-0.557220
910,-0.591759
920,1.000000
930,0.946504
940,-1.000000
950,-0.518421
960,0.528934
970,0.060574
980,-0.607389
990,0.036141
1000,1.000000
1010,1.000000
1020,-0.540602
1030,0.537166
1040,-1.000000
1050,-1.000000
1060,-0.560254
1070,-1.000000
1080,0.057357
1090,-1.000000
1100,0.462970
1110,-0.336598
1120,-0.273129
1130,-0.658253
1140,-0.251904
1150,0.644476
1160,-0.348803
1170,0.847475
1180,0.788206
1190,-0.673868
1200,-0.655421
1210,-0.812571
1220,-0.623340
1230,-1.000000
1240,0.126195
1250,0.808777
1260,0.619247
1270,-0.921787
1280,1.000000
1290,-0.478191
1300,-1.000000
1310,0.574867
1320,0.940665
1330,1.000000
1340,-1.000000
1350,-1.000000
1360,-1.000000
1370,0.900978
1380,-0.603714
1390,0.343637
1400,-0.459749
1410,-0.724616
1420,-0.994102
1430,1.000000
1440,0.189444
1450,0.870304
1460,-1.000000
1470,1.000000
1480,0.162248
1490,1.000000
1500,-1.000000
1510,-0.846662
1520,-0.431338
1530,-0.247850
1540,-0.533274
1550,0.262660
1560,0.222712
1570,-0.802900
1580,-1.000000
1590,0.486926
1600,0.853878
1610,0.344730
1620,0.771331
1630,-1.000000
1640,0.611675
1650,-1.000000
1660,-1.000000
1670,-0.006411
1680,0.183037
1690,-0.896405
1700,-0.200747
1710,0.104257
1720,0.162719
1730,-0.501169
1740,0.436976
1750,-0.685151
1760,-0.933658
1770,-1.000000
1780,-1.000000
1790,1.000000
1800,0.741548
1810,0.901504
1820,0.433156
1830,-0.729730
1840,-0.131443
1850,0.200737
1860,0.150735
1870,-0.055648
1880,0.070425
1890,0.644781
1900,1.000000
1910,0.376140
1920,-0.609571
1930,1.000000
1940,1.000000
1950,0.383647
1960,-0.844015
1970,0.947191
1980,-0.136179
1990,0.666685
2000,-1.000000
