event,reason,trigger_time,frame_stamp,filename
1,perception_invalid,1788185514.609972,1788185516.354686,e01_1788185516.354686.png
1,perception_invalid,1788185514.609972,1788185516.404777,e01_1788185516.404777.png
1,perception_invalid,1788185514.609972,1788185516.805248,e01_1788185516.805248.png
1,perception_invalid,1788185514.609972,1788185516.854985,e01_1788185516.854985.png
1,perception_invalid,1788185514.609972,1788185516.905025,e01_1788185516.905025.png
1,perception_invalid,1788185514.609972,1788185516.954673,e01_1788185516.954673.png
1,perception_invalid,1788185514.609972,1788185517.255038,e01_1788185517.255038.png
1,perception_invalid,1788185514.609972,1788185517.307222,e01_1788185517.307222.png
1,perception_invalid,1788185514.609972,1788185517.354831,e01_1788185517.354831.png
1,perception_invalid,1788185514.609972,1788185517.408413,e01_1788185517.408413.png
1,perception_invalid,1788185514.609972,1788185517.454769,e01_1788185517.454769.png
1,perception_invalid,1788185514.609972,1788185517.504970,e01_1788185517.504970.png
1,perception_invalid,1788185514.609972,1788185517.555171,e01_1788185517.555171.png
1,perception_invalid,1788185514.609972,1788185517.654859,e01_1788185517.654859.png
1,perception_invalid,1788185514.609972,1788185517.704657,e01_1788185517.704657.png
1,perception_invalid,1788185514.609972,1788185517.754632,e01_1788185517.754632.png
1,perception_invalid,1788185514.609972,1788185517.855740,e01_1788185517.855740.png
1,perception_invalid,1788185514.609972,1788185517.906927,e01_1788185517.906927.png
1,perception_invalid,1788185514.609972,1788185518.004775,e01_1788185518.004775.png
1,perception_invalid,1788185514.609972,1788185518.106432,e01_1788185518.106432.png
1,perception_invalid,1788185514.609972,1788185518.354815,e01_1788185518.354815.png
1,perception_invalid,1788185514.609972,1788185518.405182,e01_1788185518.405182.png
1,perception_invalid,1788185514.609972,1788185518.456557,e01_1788185518.456557.png
1,perception_invalid,1788185514.609972,1788185518.505158,e01_1788185518.505158.png
1,perception_invalid,1788185514.609972,1788185518.555145,e01_1788185518.555145.png
1,perception_invalid,1788185514.609972,1788185518.605128,e01_1788185518.605128.png
1,perception_invalid,1788185514.609972,1788185518.654651,e01_1788185518.654651.png
1,perception_invalid,1788185514.609972,1788185518.704848,e01_1788185518.704848.png
1,perception_invalid,1788185514.609972,1788185518.755264,e01_1788185518.755264.png
1,perception_invalid,1788185514.609972,1788185518.804726,e01_1788185518.804726.png
1,perception_invalid,1788185514.609972,1788185518.854928,e01_1788185518.854928.png
1,perception_invalid,1788185514.609972,1788185518.905381,e01_1788185518.905381.png
1,perception_invalid,1788185514.609972,1788185518.954915,e01_1788185518.954915.png
1,perception_invalid,1788185514.609972,1788185519.105009,e01_1788185519.105009.png
1,perception_invalid,1788185514.609972,1788185519.206442,e01_1788185519.206442.png
1,perception_invalid,1788185514.609972,1788185519.254715,e01_1788185519.254715.png
1,perception_invalid,1788185514.609972,1788185519.354855,e01_1788185519.354855.png
1,perception_invalid,1788185514.609972,1788185519.405154,e01_1788185519.405154.png
1,perception_invalid,1788185514.609972,1788185519.455126,e01_1788185519.455126.png
1,perception_invalid,1788185514.609972,1788185519.505042,e01_1788185519.505042.png
1,perception_invalid,1788185514.609972,1788185519.554942,e01_1788185519.554942.png
1,perception_invalid,1788185514.609972,1788185519.604836,e01_1788185519.604836.png
1,perception_invalid,1788185514.609972,1788185519.756150,e01_1788185519.756150.png
1,perception_invalid,1788185514.609972,1788185519.804864,e01_1788185519.804864.png
1,perception_invalid,1788185514.609972,1788185519.954921,e01_1788185519.954921.png
1,perception_invalid,1788185514.609972,1788185520.054795,e01_1788185520.054795.png
1,perception_invalid,1788185514.609972,1788185520.106789,e01_1788185520.106789.png
1,perception_invalid,1788185514.609972,1788185520.163140,e01_1788185520.163140.png
1,perception_invalid,1788185514.609972,1788185520.204745,e01_1788185520.204745.png
1,perception_invalid,1788185514.609972,1788185520.256531,e01_1788185520.256531.png
1,perception_invalid,1788185514.609972,1788185520.307338,e01_1788185520.307338.png
1,perception_invalid,1788185514.609972,1788185520.355063,e01_1788185520.355063.png
1,perception_invalid,1788185514.609972,1788185520.506201,e01_1788185520.506201.png
1,perception_invalid,1788185514.609972,1788185520.604966,e01_1788185520.604966.png
1,perception_invalid,1788185514.609972,1788185520.654937,e01_1788185520.654937.png
1,perception_invalid,1788185514.609972,1788185520.756589,e01_1788185520.756589.png
1,perception_invalid,1788185514.609972,1788185520.855183,e01_1788185520.855183.png
1,perception_invalid,1788185514.609972,1788185520.907256,e01_1788185520.907256.png
1,perception_invalid,1788185514.609972,1788185521.005363,e01_1788185521.005363.png
1,perception_invalid,1788185514.609972,1788185521.108320,e01_1788185521.108320.png
1,perception_invalid,1788185514.609972,1788185521.155323,e01_1788185521.155323.png
1,perception_invalid,1788185514.609972,1788185521.262667,e01_1788185521.262667.png
1,perception_invalid,1788185514.609972,1788185521.306572,e01_1788185521.306572.png
1,perception_invalid,1788185514.609972,1788185521.405052,e01_1788185521.405052.png
1,perception_invalid,1788185514.609972,1788185521.504857,e01_1788185521.504857.png
1,perception_invalid,1788185514.609972,1788185521.604614,e01_1788185521.604614.png
1,perception_invalid,1788185514.609972,1788185521.655679,e01_1788185521.655679.png
1,perception_invalid,1788185514.609972,1788185521.705041,e01_1788185521.705041.png
2,perception_invalid,1788185521.711880,1788185521.756094,e02_1788185521.756094.png
2,perception_invalid,1788185521.711880,1788185521.854831,e02_1788185521.854831.png
2,perception_invalid,1788185521.711880,1788185521.904883,e02_1788185521.904883.png
2,perception_invalid,1788185521.711880,1788185522.005058,e02_1788185522.005058.png
2,perception_invalid,1788185521.711880,1788185522.055719,e02_1788185522.055719.png
2,perception_invalid,1788185521.711880,1788185522.104911,e02_1788185522.104911.png
2,perception_invalid,1788185521.711880,1788185522.205388,e02_1788185522.205388.png
2,perception_invalid,1788185521.711880,1788185522.255669,e02_1788185522.255669.png
2,perception_invalid,1788185521.711880,1788185522.357771,e02_1788185522.357771.png
2,perception_invalid,1788185521.711880,1788185522.404815,e02_1788185522.404815.png
2,perception_invalid,1788185521.711880,1788185522.454853,e02_1788185522.454853.png
2,perception_invalid,1788185521.711880,1788185522.504769,e02_1788185522.504769.png
2,perception_invalid,1788185521.711880,1788185522.554770,e02_1788185522.554770.png
2,perception_invalid,1788185521.711880,1788185522.612951,e02_1788185522.612951.png
2,perception_invalid,1788185521.711880,1788185522.655154,e02_1788185522.655154.png
2,perception_invalid,1788185521.711880,1788185522.705540,e02_1788185522.705540.png
2,perception_invalid,1788185521.711880,1788185522.755130,e02_1788185522.755130.png
2,perception_invalid,1788185521.711880,1788185522.805221,e02_1788185522.805221.png
2,perception_invalid,1788185521.711880,1788185522.855128,e02_1788185522.855128.png
2,perception_invalid,1788185521.711880,1788185522.905277,e02_1788185522.905277.png
2,perception_invalid,1788185521.711880,1788185523.004834,e02_1788185523.004834.png
2,perception_invalid,1788185521.711880,1788185523.105018,e02_1788185523.105018.png
2,perception_invalid,1788185521.711880,1788185523.204762,e02_1788185523.204762.png
2,perception_invalid,1788185521.711880,1788185523.304752,e02_1788185523.304752.png
2,perception_invalid,1788185521.711880,1788185523.354779,e02_1788185523.354779.png
2,perception_invalid,1788185521.711880,1788185523.405764,e02_1788185523.405764.png
2,perception_invalid,1788185521.711880,1788185523.454694,e02_1788185523.454694.png
2,perception_invalid,1788185521.711880,1788185523.518244,e02_1788185523.518244.png
2,perception_invalid,1788185521.711880,1788185523.555074,e02_1788185523.555074.png
2,perception_invalid,1788185521.711880,1788185523.604728,e02_1788185523.604728.png
