stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1788183932.020,bad_width,0.06043,0.06354,0.33331,2,0.500,ok
1788183932.120,bad_width,0.05973,0.06354,0.33472,3,0.500,ok
1788183932.170,bad_width,0.06181,0.06354,0.33236,2,0.500,ok
1788183932.270,bad_width,0.06128,0.04705,0.33401,2,0.500,ok
1788183932.370,bad_width,0.06219,0.05329,0.33207,2,0.500,ok
1788183932.421,bad_width,0.05695,0.03834,0.32420,2,0.521,ok
1788183932.520,bad_width,0.06037,0.06354,0.33512,2,0.500,ok
1788183932.570,bad_width,0.05982,0.06903,0.33580,3,0.500,ok
1788183932.820,bad_width,0.05637,0.06034,0.32499,3,0.521,ok
1788183932.871,bad_width,0.05560,0.06034,0.32654,2,0.521,ok
1788183933.070,bad_width,0.05999,0.06903,0.33614,2,0.500,ok
1788183933.170,bad_width,0.05578,0.04842,0.32432,2,0.542,ok
1788183933.221,bad_width,0.05888,0.06354,0.33780,3,0.500,ok
1788183933.370,bad_width,0.06128,0.04705,0.33401,3,0.500,ok
1788183933.720,bad_width,0.06011,0.05805,0.33406,2,0.500,ok
1788183933.770,bad_width,0.06076,0.04705,0.33297,3,0.500,ok
1788183933.821,bad_width,0.05971,0.04064,0.32917,2,0.542,ok
1788183933.870,bad_width,0.05677,0.04064,0.32475,2,0.521,ok
1788183934.120,bad_width,0.05483,0.07862,0.32560,3,0.521,ok
1788183934.270,bad_width,0.05976,0.07452,0.33647,2,0.500,ok
1788183934.520,bad_width,0.05966,0.06354,0.33458,3,0.500,ok
1788183934.570,bad_width,0.06091,0.04705,0.33266,3,0.500,ok
1788183934.620,bad_width,0.06143,0.04705,0.33370,2,0.500,ok
1788183934.871,bad_width,0.05992,0.06903,0.33421,2,0.500,ok
1788183935.020,bad_width,0.06114,0.04705,0.33400,2,0.500,ok
1788183935.122,bad_width,0.05675,0.04064,0.32506,2,0.521,ok
1788183935.270,bad_width,0.05521,0.07421,0.32520,3,0.521,ok
1788183935.320,bad_width,0.06158,0.04155,0.33307,2,0.500,ok
1788183935.370,bad_width,0.06135,0.04681,0.33415,2,0.500,ok
1788183935.420,bad_width,0.05988,0.06354,0.33414,2,0.500,ok
1788183935.470,bad_width,0.06031,0.06354,0.33562,2,0.500,ok
1788183935.620,bad_width,0.05810,0.04064,0.32237,3,0.521,ok
1788183935.670,bad_width,0.06031,0.06354,0.33562,2,0.500,ok
1788183935.770,bad_width,0.05956,0.06903,0.33466,2,0.500,ok
1788183935.920,bad_width,0.05722,0.05117,0.32140,2,0.521,ok
1788183936.120,bad_width,0.06076,0.04705,0.33297,3,0.500,ok
1788183936.170,bad_width,0.06160,0.04155,0.33345,3,0.500,ok
1788183936.370,bad_width,0.06140,0.04705,0.33169,2,0.500,ok
