timestamp,action,reason,resets_issued
1788171389.131890,withheld,healthy for 0.51 s of 1.00,3
1788171389.219641,withheld,healthy for 0.59 s of 1.00,3
1788171389.332469,withheld,healthy for 0.71 s of 1.00,3
1788171389.424834,withheld,healthy for 0.80 s of 1.00,3
1788171389.561498,withheld,healthy for 0.94 s of 1.00,3
1788171389.623933,withheld,healthy for 1.00 s of 1.00,3
1788171389.759916,withheld,rate limited (2.73 s since last reset),3
1788171389.832466,withheld,rate limited (2.80 s since last reset),3
1788171389.938666,withheld,rate limited (2.91 s since last reset),3
1788171390.038664,reset,"healthy for 1.41 s, reset 4/6",4
1788171391.335523,withheld,perception still invalid,4
1788171391.436225,withheld,still moving (0.123 m/s),4
1788171391.548402,withheld,still moving (0.141 m/s),4
1788171391.661036,withheld,still moving (0.137 m/s),4
1788171391.819107,withheld,still moving (0.138 m/s),4
1788171391.939216,withheld,still moving (0.145 m/s),4
1788171392.043283,withheld,still moving (0.112 m/s),4
1788171392.255832,withheld,still moving (0.086 m/s),4
1788171392.434293,withheld,still moving (0.075 m/s),4
1788171392.631627,withheld,still moving (0.066 m/s),4
1788171392.704401,withheld,still moving (0.058 m/s),4
1788171392.804830,withheld,still moving (0.048 m/s),4
1788171392.915065,withheld,still moving (0.047 m/s),4
1788171393.047378,withheld,still moving (0.036 m/s),4
1788171393.210577,withheld,still moving (0.030 m/s),4
1788171393.316863,withheld,still moving (0.024 m/s),4
1788171393.538647,withheld,healthy for 0.00 s of 1.00,4
1788171393.647999,withheld,healthy for 0.11 s of 1.00,4
1788171393.765331,withheld,healthy for 0.23 s of 1.00,4
1788171393.838072,withheld,healthy for 0.30 s of 1.00,4
1788171393.958054,withheld,healthy for 0.42 s of 1.00,4
1788171394.122567,withheld,healthy for 0.58 s of 1.00,4
1788171394.251689,withheld,healthy for 0.71 s of 1.00,4
1788171394.470152,withheld,healthy for 0.93 s of 1.00,4
1788171394.524838,withheld,healthy for 0.99 s of 1.00,4
1788171394.645499,reset,"healthy for 1.11 s, reset 5/6",5
1788171398.252764,withheld,cage rules active: C-02,5
1788171398.461406,withheld,"cage rules active: C-01,C-02",5
1788171398.752265,withheld,cage rules active: C-02,5
1788171398.821675,withheld,still moving (0.175 m/s),5
1788171399.039528,withheld,cage rules active: C-02,5
1788171399.535959,withheld,still moving (0.070 m/s),5
1788171399.641923,withheld,cage rules active: C-02,5
1788171400.235830,withheld,healthy for 0.00 s of 1.00,5
1788171400.340988,withheld,cage rules active: C-02,5
1788171400.939878,withheld,perception still invalid,5
1788171401.040844,withheld,cage rules active: C-02,5
1788171406.776868,withheld,perception still invalid,5
1788171407.034415,withheld,cage rules active: C-02,5
1788171407.635018,withheld,healthy for 0.00 s of 1.00,5
1788171407.747886,withheld,perception still invalid,5
1788171408.031202,withheld,cage rules active: C-02,5
1788171409.753659,withheld,perception still invalid,5
1788171409.857759,withheld,cage rules active: C-02,5
1788171410.428916,withheld,perception still invalid,5
1788171410.951196,withheld,cage rules active: C-02,5
1788171411.218552,withheld,perception still invalid,5
1788171411.656215,withheld,cage rules active: C-02,5
1788171412.318445,withheld,perception still invalid,5
1788171412.751085,withheld,cage rules active: C-02,5
1788171412.955387,withheld,perception still invalid,5
1788171413.354298,withheld,cage rules active: C-02,5
1788171413.549971,withheld,perception still invalid,5
1788171414.032290,withheld,cage rules active: C-02,5
1788171414.338452,withheld,perception still invalid,5
1788171414.522364,withheld,cage rules active: C-02,5
1788171414.650739,withheld,perception still invalid,5
1788171414.940569,withheld,cage rules active: C-02,5
1788171415.256656,withheld,perception still invalid,5
1788171415.743653,withheld,cage rules active: C-02,5
1788171416.323755,withheld,healthy for 0.00 s of 1.00,5
1788171416.430507,withheld,cage rules active: C-02,5
1788171416.634446,withheld,perception still invalid,5
1788171417.034167,withheld,cage rules active: C-02,5
1788171418.925123,withheld,healthy for 0.00 s of 1.00,5
1788171419.034387,withheld,healthy for 0.11 s of 1.00,5
1788171419.128051,withheld,healthy for 0.20 s of 1.00,5
1788171419.234734,withheld,healthy for 0.31 s of 1.00,5
1788171419.340386,withheld,cage rules active: C-02,5
1788171419.834550,withheld,healthy for 0.00 s of 1.00,5
1788171419.932057,withheld,healthy for 0.10 s of 1.00,5
1788171420.037693,withheld,healthy for 0.20 s of 1.00,5
1788171420.131363,withheld,healthy for 0.30 s of 1.00,5
1788171420.239916,withheld,cage rules active: C-02,5
1788171420.455836,withheld,healthy for 0.00 s of 1.00,5
1788171420.534652,withheld,healthy for 0.08 s of 1.00,5
1788171420.656238,withheld,healthy for 0.20 s of 1.00,5
1788171420.748135,withheld,healthy for 0.29 s of 1.00,5
1788171420.839897,withheld,healthy for 0.38 s of 1.00,5
1788171420.945769,withheld,healthy for 0.49 s of 1.00,5
1788171421.044037,withheld,healthy for 0.59 s of 1.00,5
1788171421.120353,withheld,healthy for 0.66 s of 1.00,5
1788171421.219995,withheld,healthy for 0.76 s of 1.00,5
1788171421.350368,withheld,perception still invalid,5
1788171421.553004,withheld,healthy for 0.00 s of 1.00,5
1788171421.653302,withheld,healthy for 0.10 s of 1.00,5
1788171421.758935,withheld,healthy for 0.21 s of 1.00,5
1788171421.834023,withheld,healthy for 0.28 s of 1.00,5
1788171421.942771,withheld,healthy for 0.39 s of 1.00,5
1788171422.047777,withheld,cage rules active: C-02,5
1788171422.835811,withheld,healthy for 0.00 s of 1.00,5
1788171422.942903,withheld,cage rules active: C-02,5
1788171423.237961,withheld,healthy for 0.00 s of 1.00,5
1788171423.334310,withheld,healthy for 0.10 s of 1.00,5
1788171423.436336,withheld,healthy for 0.20 s of 1.00,5
1788171423.536399,withheld,healthy for 0.30 s of 1.00,5
1788171423.628963,withheld,healthy for 0.39 s of 1.00,5
1788171423.736746,withheld,cage rules active: C-02,5
1788171424.130440,withheld,healthy for 0.00 s of 1.00,5
1788171424.219692,withheld,healthy for 0.09 s of 1.00,5
1788171424.331105,withheld,healthy for 0.20 s of 1.00,5
1788171424.433321,withheld,healthy for 0.30 s of 1.00,5
1788171424.543207,withheld,healthy for 0.41 s of 1.00,5
1788171424.642120,withheld,healthy for 0.51 s of 1.00,5
1788171424.749224,withheld,healthy for 0.62 s of 1.00,5
1788171424.837560,withheld,healthy for 0.71 s of 1.00,5
1788171424.931071,withheld,healthy for 0.80 s of 1.00,5
1788171425.037961,withheld,healthy for 0.91 s of 1.00,5
1788171425.126314,withheld,healthy for 1.00 s of 1.00,5
1788171425.223347,withheld,perception still invalid,5
1788171425.322988,withheld,healthy for 0.00 s of 1.00,5
1788171425.430244,withheld,healthy for 0.11 s of 1.00,5
1788171425.533958,withheld,perception still invalid,5
1788171425.843149,withheld,healthy for 0.00 s of 1.00,5
1788171425.964294,withheld,healthy for 0.12 s of 1.00,5
1788171426.035736,withheld,healthy for 0.19 s of 1.00,5
1788171426.152368,withheld,healthy for 0.31 s of 1.00,5
1788171426.240287,withheld,healthy for 0.40 s of 1.00,5
1788171426.334566,withheld,healthy for 0.49 s of 1.00,5
1788171426.438660,withheld,healthy for 0.60 s of 1.00,5
1788171426.526670,withheld,healthy for 0.68 s of 1.00,5
1788171426.650436,withheld,healthy for 0.81 s of 1.00,5
1788171426.751833,withheld,healthy for 0.91 s of 1.00,5
1788171426.839520,withheld,healthy for 1.00 s of 1.00,5
1788171426.935413,reset,"healthy for 1.09 s, reset 6/6",6
1788171428.051078,withheld,cage rules active: C-02,6
1788171428.227381,withheld,still moving (0.170 m/s),6
1788171428.352079,withheld,still moving (0.198 m/s),6
1788171428.531486,withheld,still moving (0.228 m/s),6
1788171428.625231,withheld,cage rules active: C-02,6
1788171429.520780,withheld,still moving (0.100 m/s),6
1788171429.648038,withheld,cage rules active: C-02,6
1788171431.024169,withheld,still moving (0.054 m/s),6
1788171431.130846,withheld,still moving (0.078 m/s),6
1788171431.241961,withheld,still moving (0.090 m/s),6
1788171431.326915,withheld,still moving (0.092 m/s),6
1788171431.445610,withheld,still moving (0.099 m/s),6
1788171431.647738,withheld,still moving (0.100 m/s),6
1788171431.749908,withheld,still moving (0.099 m/s),6
1788171431.922065,withheld,still moving (0.092 m/s),6
1788171432.031384,withheld,still moving (0.083 m/s),6
1788171432.130450,withheld,still moving (0.068 m/s),6
1788171432.234639,withheld,still moving (0.060 m/s),6
1788171432.338426,withheld,still moving (0.053 m/s),6
1788171432.436398,withheld,still moving (0.048 m/s),6
1788171432.527653,withheld,still moving (0.044 m/s),6
1788171432.631539,withheld,still moving (0.035 m/s),6
1788171432.735131,withheld,still moving (0.030 m/s),6
1788171432.827210,withheld,still moving (0.027 m/s),6
1788171432.943662,withheld,still moving (0.023 m/s),6
1788171433.150285,withheld,healthy for 0.00 s of 1.00,6
1788171435.670909,withheld,budget spent (6/6 resets),6
